session,dimension,median_fnn_percent
sample_22.csv,7,0.6793478260869565
sample_22.csv,8,0.7493188010899182
sample_22.csv,9,0.819672131147541
sample_22.csv,10,0.8561643835616438
sample_23.csv,1,95.85561497326202
sample_23.csv,2,34.04825737265416
sample_23.csv,3,6.653225806451612
sample_23.csv,4,2.897574123989218
sample_23.csv,5,1.5540540540540542
sample_23.csv,6,1.2872628726287263
sample_23.csv,7,1.2228260869565215
sample_23.csv,8,1.2942779291553137
sample_23.csv,9,1.4344262295081966
sample_23.csv,10,1.7123287671232876
sample_25.csv,1,95.95588235294116
sample_25.csv,2,29.05495978552279
sample_25.csv,3,5.880376344086022
sample_25.csv,4,1.8194070080862532
sample_25.csv,5,1.0135135135135136
sample_25.csv,6,0.6436314363143631
sample_25.csv,7,0.5095108695652174
sample_25.csv,8,0.544959128065395
sample_25.csv,9,0.6147540983606558
sample_25.csv,10,0.5821917808219178
