session,state,metric,median_delta_pps,median_surrogate_iqr,median_surrogate_sd,rejection_fraction,fraction_delta_positive,fraction_delta_negative,fraction_delta_zero,n_valid_windows
5,Drowsy,NRMSE,-0.16053199379367833,0.027780074741449612,0.022916387865629752,0.9375,0.0,1.0,0.0,16
5,Drowsy,TT,-0.11984241293146325,0.04226928561081,0.02935313708261315,0.875,0.0,1.0,0.0,16
6,Awake,CC,0.10114835794236432,0.05866171979773793,0.0472190059988224,0.5483870967741935,1.0,0.0,0.0,31
6,Awake,DET,0.17291356721217066,0.022867975236358418,0.0169105212210273,1.0,1.0,0.0,0.0,31
6,Awake,LAM,-0.1260018236790325,0.03304218457551478,0.0238271781074301,0.967741935483871,0.0,1.0,0.0,31
6,Awake,Lmean,1.180936582701892,0.0882375060690932,0.0764047710113747,1.0,1.0,0.0,0.0,31
6,Awake,NRMSE,-0.11972838765185112,0.03572251446769137,0.0277029301776401,0.9032258064516129,0.0,1.0,0.0,31
6,Awake,TT,-0.1422010641033662,0.03308131674309189,0.0252604310807787,1.0,0.0,1.0,0.0,31
6,Drowsy,CC,0.1234512861005923,0.06154622405230725,0.0464146881606406,0.7058823529411765,1.0,0.0,0.0,17
6,Drowsy,DET,0.17305754187263045,0.024763641599078512,0.0180339412727648,1.0,1.0,0.0,0.0,17
6,Drowsy,LAM,-0.11230023515861204,0.036149637663771106,0.0259998027528894,0.8235294117647058,0.0,1.0,0.0,17
6,Drowsy,Lmean,1.1646330034665358,0.09961123784750825,0.0758563058843481,1.0,1.0,0.0,0.0,17
6,Drowsy,NRMSE,-0.1318734089474929,0.03507784900524591,0.0272986421487387,0.9411764705882353,0.0,1.0,0.0,17
6,Drowsy,TT,-0.13646775366793928,0.03459716429122306,0.0298645965621029,1.0,0.0,1.0,0.0,17
7,Awake,CC,0.09849805201830814,0.05891976316991099,0.0467388897680663,0.5,1.0,0.0,0.0,34
7,Awake,DET,0.17944041848634634,0.023971780966550005,0.01748171746610675,1.0,1.0,0.0,0.0,34
7,Awake,LAM,-0.14206699620866725,0.034493929068484,0.02786749414336415,1.0,0.0,1.0,0.0,34
7,Awake,Lmean,1.163525889346742,0.09279796647953886,0.07418456471699506,1.0,1.0,0.0,0.0,34
7,Awake,NRMSE,-0.13133734747787157,0.035760952350136654,0.0299260219455064,0.8823529411764706,0.0,1.0,0.0,34
7,Awake,TT,-0.09085570846347846,0.0291025247003871,0.02203799046860265,1.0,0.0,1.0,0.0,34
7,Drowsy,CC,0.18210584968090388,0.0624758992655865,0.04665969321948,0.9090909090909091,1.0,0.0,0.0,11
7,Drowsy,DET,0.193405960550943,0.024139751403752907,0.018657466620321,1.0,1.0,0.0,0.0,11
7,Drowsy,LAM,-0.12628977299995192,0.035189806594039474,0.0236509859792168,1.0,0.0,1.0,0.0,11
7,Drowsy,Lmean,1.20220768788759,0.08019307677662901,0.0704802580948193,1.0,1.0,0.0,0.0,11
7,Drowsy,NRMSE,-0.17914658829619945,0.03126287942193362,0.0250588159848215,0.9090909090909091,0.0,1.0,0.0,11
7,Drowsy,TT,-0.12488666458522246,0.03583534931508803,0.0295117995561044,0.9090909090909091,0.0,1.0,0.0,11
8,Awake,CC,0.11262406151755233,0.05319396382636182,0.04356374155289955,0.6388888888888888,0.9722222222222222,0.027777777777777776,0.0,36
8,Awake,DET,0.14807793828286225,0.021356241301530854,0.0169478384526114,1.0,1.0,0.0,0.0,36
8,Awake,LAM,-0.14012333829246063,0.03430196285453757,0.02598135237541245,0.9444444444444444,0.027777777777777776,0.9722222222222222,0.0,36
8,Awake,Lmean,1.167202489571192,0.12071409869594563,0.0877429591010612,1.0,1.0,0.0,0.0,36
8,Awake,NRMSE,-0.13295220542327174,0.03766799669765103,0.030209965599095452,0.8888888888888888,0.0,1.0,0.0,36
8,Awake,TT,-0.1210241455924479,0.03142248924131685,0.025481487694707747,1.0,0.0,1.0,0.0,36
8,Drowsy,CC,0.11033436917596978,0.06504247608254593,0.04879228177694885,0.6,1.0,0.0,0.0,10
8,Drowsy,DET,0.16194749724048574,0.021116283534097946,0.017014611278106148,1.0,1.0,0.0,0.0,10
8,Drowsy,LAM,-0.12733358928828525,0.031716417910447825,0.0251374263255692,1.0,0.0,1.0,0.0,10
8,Drowsy,Lmean,1.1888878953940458,0.10786344340913057,0.0857682848326721,1.0,1.0,0.0,0.0,10
8,Drowsy,NRMSE,-0.1336743996181733,0.035067421519519915,0.027432779601883152,1.0,0.0,1.0,0.0,10
8,Drowsy,TT,-0.14233442611144342,0.03386138798464633,0.0261729006317811,1.0,0.0,1.0,0.0,10
9,Awake,CC,0.21425741118856967,0.062303775197303735,0.046398444724148,0.9574468085106383,1.0,0.0,0.0,47
9,Awake,DET,0.1744492969237414,0.026443345971109034,0.0198129398220282,1.0,1.0,0.0,0.0,47
9,Awake,LAM,-0.09175985026635308,0.03536977491961413,0.0278159116467642,0.7021276595744681,0.0,1.0,0.0,47
9,Awake,Lmean,0.9389882911396081,0.099906858215423,0.0752470364551375,1.0,1.0,0.0,0.0,47
9,Awake,NRMSE,-0.20102676899661642,0.029135729220097772,0.0233534595103235,1.0,0.0,1.0,0.0,47
