config_hash,experiment,setting,session,window_id,state,fs,n_samples,m,tau_s,tau_samples,theiler_multiplier,w_samples,w_seconds,target_rr,achieved_rr,rr_error,rr_exact,epsilon,zero_distance_fraction,DET,LAM,TT,n_diagonal_lines,n_vertical_lines,valid,qc_reason
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,18,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,700.0158164758853,0.0,0.6061771113674228,0.4667435601691657,2.197450788143902,4719,13259,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,19,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,501.1312628156328,0.0,0.6326412918108419,0.10592079969242599,2.0,1924,1102,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,19,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,615.025686937477,0.0,0.6572952710495963,0.27756151480199925,2.003295178633368,3740,5766,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,19,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,704.6121929751695,0.0,0.6625656798667179,0.4158016147635525,2.0222828204129333,5466,12835,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,20,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,438.48819627087255,0.0,0.5894848135332564,0.15897731641676277,2.0121654501216546,1671,1644,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,20,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,533.2243099783258,0.0,0.6152921953094963,0.2948865820838139,2.0432900432900434,3338,6006,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,20,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,602.9248231373682,0.0,0.6272267076765347,0.4079040112777137,2.0946857518920696,5076,12156,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,21,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,506.06343692920217,0.0,0.6334102268358324,0.16964628988850441,2.004542873367405,1785,1761,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,21,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,625.9134379919908,0.0,0.6518646674356017,0.3243223760092272,2.0465504169825626,3488,6595,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,21,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,718.5752953185688,0.0,0.6638151992823274,0.45014737921312314,2.1130997142427432,5217,13298,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,22,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,469.11060945078384,0.0,0.6241830065359477,0.08131487889273356,2.0,1844,846,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,22,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,576.4751699777988,0.0,0.651239907727797,0.23464532871972318,2.0276162790697674,3644,4816,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,22,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,658.4466054408744,0.0,0.666955017301038,0.3687844418813277,2.0750856318730846,5355,11094,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,23,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,418.40866069715867,0.0,0.5177816224529027,0.14350249903883122,2.0013404825737267,1779,1492,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,23,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,512.5907457526362,0.0,0.5735294117647058,0.3171136101499423,2.015116811726981,3701,6549,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,23,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,589.1487285820789,0.0,0.610726643598616,0.44146482122260666,2.0445136879590473,5669,13479,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,24,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,491.19431931569306,0.0,0.6475394079200307,0.09645328719723184,2.002994011976048,1843,1002,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,24,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,605.2421992291593,0.0,0.650759323337178,0.24319973087274124,2.0193535514764567,3551,5012,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.03,sample_12,24,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.03,0.029999913495059125,8.650494087367178e-08,True,691.8343447866229,0.0,0.6560938100730488,0.37240484429065746,2.0539848029687224,5185,11318,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.01,sample_12,25,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.01,0.00999997116501971,2.8834980290645684e-08,True,492.1998849867749,0.0,0.6217800845828527,0.09688581314878893,2.0,1833,1008,True,ok
daa61681c525161e5a6bd398fd9f692d9b84b58f757fc73f2024d6cebd8c2555,rr,0.02,sample_12,25,Drowsy,24.9893795136852,1499,8,0.16,4,1.0,28,1.1204760000009628,0.02,0.01999994233003942,5.766996058129137e-08,True,604.3040588069777,0.0,0.6378316032295271,0.2434159938485198,2.0019762845849804,3608,5060,True,ok
