session,window_id,window_size_s,label,representation,dimension,fnn_percent,valid_count
sample_1.csv,28,60,Awake,Raw,3,8.282828282828284,2970
sample_1.csv,28,60,Awake,Raw,4,2.1621621621621623,2960
sample_1.csv,28,60,Awake,Raw,5,0.2033898305084746,2950
sample_1.csv,28,60,Awake,Raw,6,0.06802721088435373,2940
sample_1.csv,28,60,Awake,Raw,7,0.0,2930
sample_1.csv,28,60,Awake,Raw,8,0.0,2920
sample_1.csv,28,60,Awake,Raw,9,0.0,2910
sample_1.csv,28,60,Awake,Raw,10,0.0,2900
sample_1.csv,29,60,Awake,Raw,1,90.70234113712374,2990
sample_1.csv,29,60,Awake,Raw,2,35.06711409395973,2980
sample_1.csv,29,60,Awake,Raw,3,10.033670033670033,2970
sample_1.csv,29,60,Awake,Raw,4,2.2972972972972974,2960
sample_1.csv,29,60,Awake,Raw,5,1.1864406779661016,2950
sample_1.csv,29,60,Awake,Raw,6,0.2380952380952381,2940
sample_1.csv,29,60,Awake,Raw,7,0.0,2930
sample_1.csv,29,60,Awake,Raw,8,0.0,2920
sample_1.csv,29,60,Awake,Raw,9,0.0,2910
sample_1.csv,29,60,Awake,Raw,10,0.0,2900
sample_1.csv,18,60,Drowsy,Raw,1,89.56521739130436,2990
sample_1.csv,18,60,Drowsy,Raw,2,31.57718120805369,2980
sample_1.csv,18,60,Drowsy,Raw,3,8.98989898989899,2970
sample_1.csv,18,60,Drowsy,Raw,4,2.2972972972972974,2960
sample_1.csv,18,60,Drowsy,Raw,5,1.1864406779661016,2950
sample_1.csv,18,60,Drowsy,Raw,6,0.3401360544217687,2940
sample_1.csv,18,60,Drowsy,Raw,7,0.034129692832764506,2930
sample_1.csv,18,60,Drowsy,Raw,8,0.0,2920
sample_1.csv,18,60,Drowsy,Raw,9,0.0,2910
sample_1.csv,18,60,Drowsy,Raw,10,0.0,2900
sample_1.csv,19,60,Drowsy,Raw,1,91.37123745819397,2990
sample_1.csv,19,60,Drowsy,Raw,2,34.42953020134228,2980
sample_1.csv,19,60,Drowsy,Raw,3,10.942760942760943,2970
sample_1.csv,19,60,Drowsy,Raw,4,2.3986486486486487,2960
sample_1.csv,19,60,Drowsy,Raw,5,0.983050847457627,2950
