session,window_id,window_size_s,label,representation,fs,tau_samples,max_m,selected_m,min_fnn_percent,valid_count_at_selected_m,m_found
sample_4.csv,43,60,Drowsy,Raw,24.991877639597273,5,10,6.0,0.27303754266211605,1470.0,True
sample_4.csv,44,60,Drowsy,Raw,24.991877639597273,5,10,,2.73972602739726,,False
sample_4.csv,45,60,Drowsy,Raw,24.991877639597273,5,10,,2.5517241379310347,,False
sample_4.csv,46,60,Drowsy,Raw,24.991877639597273,5,10,,2.344827586206897,,False
sample_4.csv,1,60,Awake,Processed,24.991877639597273,4,10,,1.6348773841961852,,False
sample_4.csv,2,60,Awake,Processed,24.991877639597273,4,10,,1.430517711171662,,False
sample_4.csv,3,60,Awake,Processed,24.991877639597273,4,10,6.0,0.9485094850948509,1476.0,True
sample_4.csv,4,60,Awake,Processed,24.991877639597273,4,10,5.0,0.7513661202185792,1480.0,True
sample_4.csv,5,60,Awake,Processed,24.991877639597273,4,10,5.0,0.06793478260869565,1480.0,True
sample_4.csv,6,60,Awake,Processed,24.991877639597273,4,10,5.0,0.4768392370572207,1480.0,True
sample_4.csv,7,60,Awake,Processed,24.991877639597273,4,10,,1.0869565217391304,,False
sample_4.csv,8,60,Awake,Processed,24.991877639597273,4,10,5.0,0.6097560975609756,1480.0,True
sample_4.csv,9,60,Awake,Processed,24.991877639597273,4,10,,1.226158038147139,,False
sample_4.csv,10,60,Awake,Processed,24.991877639597273,4,10,5.0,0.5420054200542005,1480.0,True
sample_4.csv,14,60,Awake,Processed,24.991877639597273,4,10,,1.366120218579235,,False
sample_4.csv,15,60,Awake,Processed,24.991877639597273,4,10,10.0,0.7534246575342466,1460.0,True
sample_4.csv,16,60,Awake,Processed,24.991877639597273,4,10,,1.08991825613079,,False
sample_4.csv,17,60,Awake,Processed,24.991877639597273,4,10,,1.36986301369863,,False
sample_4.csv,18,60,Awake,Processed,24.991877639597273,4,10,,1.5582655826558265,,False
sample_4.csv,19,60,Awake,Processed,24.991877639597273,4,10,7.0,0.8831521739130435,1472.0,True
sample_4.csv,20,60,Awake,Processed,24.991877639597273,4,10,,1.3550135501355014,,False
sample_4.csv,21,60,Awake,Processed,24.991877639597273,4,10,6.0,0.40650406504065045,1476.0,True
sample_4.csv,22,60,Awake,Processed,24.991877639597273,4,10,,2.2540983606557377,,False
sample_4.csv,23,60,Awake,Processed,24.991877639597273,4,10,9.0,0.7513661202185792,1464.0,True
sample_4.csv,24,60,Awake,Processed,24.991877639597273,4,10,,1.4945652173913044,,False
sample_4.csv,25,60,Awake,Processed,24.991877639597273,4,10,7.0,0.9510869565217392,1472.0,True
sample_4.csv,26,60,Awake,Processed,24.991877639597273,4,10,,1.021798365122616,,False
sample_4.csv,27,60,Awake,Processed,24.991877639597273,4,10,,1.643835616438356,,False
sample_4.csv,28,60,Awake,Processed,24.991877639597273,4,10,,1.2162162162162162,,False
sample_4.csv,29,60,Awake,Processed,24.991877639597273,4,10,7.0,0.8831521739130435,1472.0,True
sample_4.csv,30,60,Awake,Processed,24.991877639597273,4,10,,1.418918918918919,,False
sample_4.csv,31,60,Awake,Processed,24.991877639597273,4,10,6.0,0.7452574525745257,1476.0,True
sample_4.csv,32,60,Awake,Processed,24.991877639597273,4,10,7.0,0.684931506849315,1472.0,True
sample_4.csv,11,60,Drowsy,Processed,24.991877639597273,4,10,,1.08991825613079,,False
sample_4.csv,12,60,Drowsy,Processed,24.991877639597273,4,10,,1.084010840108401,,False
sample_4.csv,13,60,Drowsy,Processed,24.991877639597273,4,10,8.0,0.47814207650273227,1468.0,True
sample_4.csv,33,60,Drowsy,Processed,24.991877639597273,4,10,,1.358695652173913,,False
sample_4.csv,34,60,Drowsy,Processed,24.991877639597273,4,10,7.0,0.8831521739130435,1472.0,True
sample_4.csv,35,60,Drowsy,Processed,24.991877639597273,4,10,6.0,0.821917808219178,1476.0,True
sample_4.csv,36,60,Drowsy,Processed,24.991877639597273,4,10,8.0,0.7493188010899182,1468.0,True
sample_4.csv,37,60,Drowsy,Processed,24.991877639597273,4,10,,1.4945652173913044,,False
sample_4.csv,38,60,Drowsy,Processed,24.991877639597273,4,10,5.0,0.4076086956521739,1480.0,True
sample_4.csv,39,60,Drowsy,Processed,24.991877639597273,4,10,10.0,0.7534246575342466,1460.0,True
sample_4.csv,40,60,Drowsy,Processed,24.991877639597273,4,10,6.0,0.47425474254742545,1476.0,True
sample_4.csv,41,60,Drowsy,Processed,24.991877639597273,4,10,5.0,0.410958904109589,1480.0,True
sample_4.csv,42,60,Drowsy,Processed,24.991877639597273,4,10,5.0,0.546448087431694,1480.0,True
sample_4.csv,43,60,Drowsy,Processed,24.991877639597273,4,10,,1.0869565217391304,,False
sample_4.csv,44,60,Drowsy,Processed,24.991877639597273,4,10,6.0,0.6130790190735695,1476.0,True
sample_4.csv,45,60,Drowsy,Processed,24.991877639597273,4,10,8.0,0.8174386920980926,1468.0,True
sample_4.csv,46,60,Drowsy,Processed,24.991877639597273,4,10,8.0,0.9536784741144414,1468.0,True
sample_5.csv,3,60,Awake,Raw,25.002500250041432,5,10,6.0,0.40955631399317405,1470.0,True
sample_5.csv,4,60,Awake,Raw,25.002500250041432,5,10,,1.0204081632653061,,False
sample_5.csv,5,60,Awake,Raw,25.002500250041432,5,10,9.0,0.8275862068965517,1455.0,True
sample_5.csv,8,60,Awake,Raw,25.002500250041432,5,10,7.0,0.8191126279863481,1465.0,True
sample_5.csv,9,60,Awake,Raw,25.002500250041432,5,10,5.0,0.0,1475.0,True
sample_5.csv,10,60,Awake,Raw,25.002500250041432,5,10,,1.0996563573883162,,False
sample_5.csv,11,60,Awake,Raw,25.002500250041432,5,10,5.0,0.3412969283276451,1475.0,True
sample_5.csv,12,60,Awake,Raw,25.002500250041432,5,10,,1.4285714285714286,,False
sample_5.csv,13,60,Awake,Raw,25.002500250041432,5,10,,2.7586206896551726,,False
sample_5.csv,15,60,Awake,Raw,25.002500250041432,5,10,9.0,0.9621993127147767,1455.0,True
sample_5.csv,16,60,Awake,Raw,25.002500250041432,5,10,,1.228668941979522,,False
sample_5.csv,17,60,Awake,Raw,25.002500250041432,5,10,,3.1724137931034484,,False
sample_5.csv,18,60,Awake,Raw,25.002500250041432,5,10,5.0,0.0,1475.0,True
sample_5.csv,20,60,Awake,Raw,25.002500250041432,5,10,,1.2328767123287672,,False
