session,window_size_s,label,representation,n_windows,n_m_found,median_m,iqr_m,mode_m,m_found_rate_pct
sample_19.csv,180,Awake,Processed,9,9,6.0,1.0,6.0,100.0
sample_19.csv,180,Awake,Raw,9,2,6.5,0.5,6.0,22.22222222222222
sample_19.csv,180,Drowsy,Processed,2,2,5.5,0.5,5.0,100.0
sample_19.csv,180,Drowsy,Raw,2,2,5.5,0.5,5.0,100.0
sample_21.csv,60,Awake,Processed,25,16,7.0,3.0,5.0,64.0
sample_21.csv,60,Awake,Raw,23,4,6.5,1.5,6.0,17.391304347826086
sample_21.csv,60,Drowsy,Processed,15,7,6.0,1.0,5.0,46.666666666666664
sample_21.csv,60,Drowsy,Raw,14,3,7.0,1.5,5.0,21.428571428571427
sample_21.csv,120,Awake,Processed,12,9,7.0,1.0,7.0,75.0
sample_21.csv,120,Awake,Raw,11,1,6.0,0.0,6.0,9.090909090909092
sample_21.csv,120,Drowsy,Processed,7,5,7.0,1.0,6.0,71.42857142857143
sample_21.csv,120,Drowsy,Raw,8,2,6.5,0.5,6.0,25.0
sample_21.csv,180,Awake,Processed,7,3,7.0,1.0,6.0,42.857142857142854
sample_21.csv,180,Awake,Raw,6,1,7.0,0.0,7.0,16.666666666666668
sample_21.csv,180,Drowsy,Processed,4,2,7.0,1.0,6.0,50.0
sample_21.csv,180,Drowsy,Raw,4,1,7.0,0.0,7.0,25.0
sample_22.csv,60,Awake,Processed,29,27,6.0,1.0,6.0,93.10344827586206
sample_22.csv,60,Awake,Raw,29,3,6.0,0.5,6.0,10.344827586206897
sample_22.csv,60,Drowsy,Processed,13,7,5.0,1.0,5.0,53.84615384615385
sample_22.csv,60,Drowsy,Raw,13,1,7.0,0.0,7.0,7.6923076923076925
sample_22.csv,120,Awake,Processed,13,12,6.0,0.0,6.0,92.3076923076923
sample_22.csv,120,Awake,Raw,13,0,,,,0.0
sample_22.csv,120,Drowsy,Processed,6,4,6.5,1.5,5.0,66.66666666666667
sample_22.csv,120,Drowsy,Raw,6,2,7.5,0.5,7.0,33.333333333333336
sample_22.csv,180,Awake,Processed,8,7,6.0,0.5,6.0,87.5
sample_22.csv,180,Awake,Raw,8,1,6.0,0.0,6.0,12.5
sample_22.csv,180,Drowsy,Processed,3,2,6.0,0.0,6.0,66.66666666666667
sample_22.csv,180,Drowsy,Raw,3,1,8.0,0.0,8.0,33.333333333333336
sample_23.csv,60,Awake,Processed,49,20,6.0,1.5,6.0,40.816326530612244
sample_23.csv,60,Awake,Raw,41,0,,,,0.0
sample_23.csv,60,Drowsy,Processed,13,5,6.0,1.0,5.0,38.46153846153846
sample_23.csv,60,Drowsy,Raw,10,3,7.0,2.5,5.0,30.0
sample_23.csv,120,Awake,Processed,22,11,6.0,1.5,6.0,50.0
sample_23.csv,120,Awake,Raw,15,0,,,,0.0
sample_23.csv,120,Drowsy,Processed,4,1,6.0,0.0,6.0,25.0
sample_23.csv,120,Drowsy,Raw,4,2,6.5,1.5,5.0,50.0
sample_23.csv,180,Awake,Processed,15,6,7.0,2.0,6.0,40.0
sample_23.csv,180,Awake,Raw,9,0,,,,0.0
sample_23.csv,180,Drowsy,Processed,1,0,,,,0.0
sample_23.csv,180,Drowsy,Raw,1,0,,,,0.0
sample_25.csv,60,Awake,Processed,27,25,5.0,1.0,5.0,92.5925925925926
sample_25.csv,60,Awake,Raw,27,4,5.5,2.0,4.0,14.814814814814815
sample_25.csv,60,Drowsy,Processed,15,12,6.0,1.25,5.0,80.0
sample_25.csv,60,Drowsy,Raw,15,5,6.0,0.0,6.0,33.333333333333336
sample_25.csv,120,Awake,Processed,12,12,6.0,0.25,6.0,100.0
sample_25.csv,120,Awake,Raw,12,2,6.5,0.5,6.0,16.666666666666668
sample_25.csv,120,Drowsy,Processed,7,6,6.0,0.75,6.0,85.71428571428571
sample_25.csv,120,Drowsy,Raw,7,2,6.0,0.0,6.0,28.571428571428573
sample_25.csv,180,Awake,Processed,6,6,6.0,0.0,6.0,100.0
sample_25.csv,180,Awake,Raw,6,1,7.0,0.0,7.0,16.666666666666668
sample_25.csv,180,Drowsy,Processed,4,4,6.5,1.0,6.0,100.0
sample_25.csv,180,Drowsy,Raw,4,1,5.0,0.0,5.0,25.0
sample_4.csv,60,Awake,Processed,29,14,6.0,2.0,5.0,48.275862068965516
sample_4.csv,60,Awake,Raw,29,1,8.0,0.0,8.0,3.4482758620689653
sample_4.csv,60,Drowsy,Processed,17,12,6.5,2.25,8.0,70.58823529411765
sample_4.csv,60,Drowsy,Raw,17,2,7.5,1.5,6.0,11.764705882352942
sample_4.csv,120,Awake,Processed,13,6,7.5,1.75,7.0,46.15384615384615
sample_4.csv,120,Awake,Raw,13,0,,,,0.0
sample_4.csv,120,Drowsy,Processed,7,4,6.0,2.5,5.0,57.142857142857146
sample_4.csv,120,Drowsy,Raw,7,1,6.0,0.0,6.0,14.285714285714286
sample_4.csv,180,Awake,Processed,8,3,8.0,0.5,8.0,37.5
sample_4.csv,180,Awake,Raw,8,0,,,,0.0
sample_4.csv,180,Drowsy,Processed,5,3,6.0,1.0,6.0,60.0
sample_4.csv,180,Drowsy,Raw,5,0,,,,0.0
sample_5.csv,60,Awake,Processed,33,14,5.5,1.75,5.0,42.42424242424242
sample_5.csv,60,Awake,Raw,24,13,6.0,2.0,5.0,54.166666666666664
sample_5.csv,60,Drowsy,Processed,16,6,5.0,0.75,5.0,37.5
sample_5.csv,60,Drowsy,Raw,8,7,5.0,0.5,5.0,87.5
sample_5.csv,120,Awake,Processed,14,6,6.0,1.5,6.0,42.857142857142854
sample_5.csv,120,Awake,Raw,11,6,6.0,0.75,6.0,54.54545454545455
sample_5.csv,120,Drowsy,Processed,8,2,6.0,1.0,5.0,25.0
sample_5.csv,120,Drowsy,Raw,2,2,6.0,1.0,5.0,100.0
sample_5.csv,180,Awake,Processed,9,3,6.0,0.5,6.0,33.333333333333336
sample_5.csv,180,Awake,Raw,8,7,6.0,1.0,6.0,87.5
sample_5.csv,180,Drowsy,Processed,3,1,7.0,0.0,7.0,33.333333333333336
sample_5.csv,180,Drowsy,Raw,2,2,5.5,0.5,5.0,100.0
sample_6.csv,60,Awake,Processed,31,19,6.0,1.5,5.0,61.29032258064516
sample_6.csv,60,Awake,Raw,31,3,8.0,1.0,7.0,9.67741935483871
sample_6.csv,60,Drowsy,Processed,17,8,5.5,1.25,5.0,47.05882352941177
sample_6.csv,60,Drowsy,Raw,17,1,5.0,0.0,5.0,5.882352941176471
sample_6.csv,120,Awake,Processed,14,4,6.0,0.5,6.0,28.571428571428573
sample_6.csv,120,Awake,Raw,14,0,,,,0.0
sample_6.csv,120,Drowsy,Processed,7,3,7.0,0.5,7.0,42.857142857142854
sample_6.csv,120,Drowsy,Raw,7,0,,,,0.0
sample_6.csv,180,Awake,Processed,8,3,7.0,1.0,6.0,37.5
sample_6.csv,180,Awake,Raw,9,1,6.0,0.0,6.0,11.11111111111111
sample_6.csv,180,Drowsy,Processed,5,1,7.0,0.0,7.0,20.0
sample_6.csv,180,Drowsy,Raw,3,0,,,,0.0
sample_7.csv,60,Awake,Processed,34,21,5.0,1.0,5.0,61.76470588235294
sample_7.csv,60,Awake,Raw,36,6,5.0,3.0,4.0,16.666666666666668
sample_7.csv,60,Drowsy,Processed,11,6,6.0,1.5,5.0,54.54545454545455
sample_7.csv,60,Drowsy,Raw,9,5,8.0,4.0,4.0,55.55555555555556
sample_7.csv,120,Awake,Processed,17,10,5.5,1.0,5.0,58.8235294117647
sample_7.csv,120,Awake,Raw,17,4,5.0,0.0,5.0,23.529411764705884
sample_7.csv,120,Drowsy,Processed,5,4,6.5,1.5,5.0,80.0
sample_7.csv,120,Drowsy,Raw,3,1,6.0,0.0,6.0,33.333333333333336
sample_7.csv,180,Awake,Processed,11,8,6.0,1.0,6.0,72.72727272727273
sample_7.csv,180,Awake,Raw,10,3,6.0,1.0,5.0,30.0
sample_7.csv,180,Drowsy,Processed,1,1,7.0,0.0,7.0,100.0
sample_7.csv,180,Drowsy,Raw,2,2,7.5,0.5,7.0,100.0
sample_8.csv,60,Awake,Processed,36,27,6.0,1.0,6.0,75.0
sample_8.csv,60,Awake,Raw,37,1,5.0,0.0,5.0,2.7027027027027026
sample_8.csv,60,Drowsy,Processed,10,5,7.0,2.0,8.0,50.0
sample_8.csv,60,Drowsy,Raw,10,1,6.0,0.0,6.0,10.0
sample_8.csv,120,Awake,Processed,17,10,6.0,1.0,6.0,58.8235294117647
sample_8.csv,120,Awake,Raw,17,0,,,,0.0
sample_8.csv,120,Drowsy,Processed,5,2,8.5,1.5,7.0,40.0
sample_8.csv,120,Drowsy,Raw,5,1,6.0,0.0,6.0,20.0
sample_8.csv,180,Awake,Processed,9,9,7.0,0.0,7.0,100.0
sample_8.csv,180,Awake,Raw,9,0,,,,0.0
sample_8.csv,180,Drowsy,Processed,3,0,,,,0.0
sample_8.csv,180,Drowsy,Raw,3,0,,,,0.0
sample_9.csv,60,Awake,Processed,47,38,6.0,2.0,7.0,80.85106382978724
sample_9.csv,60,Awake,Raw,35,16,6.0,1.0,6.0,45.714285714285715
sample_9.csv,60,Drowsy,Processed,18,16,7.0,2.0,7.0,88.88888888888889
sample_9.csv,60,Drowsy,Raw,15,7,6.0,2.0,6.0,46.666666666666664
sample_9.csv,120,Awake,Processed,19,16,7.0,2.0,7.0,84.21052631578948
sample_9.csv,120,Awake,Raw,16,9,6.0,1.0,6.0,56.25
sample_9.csv,120,Drowsy,Processed,10,9,7.0,0.0,7.0,90.0
sample_9.csv,120,Drowsy,Raw,8,4,7.0,2.5,6.0,50.0
sample_9.csv,180,Awake,Processed,11,8,6.5,1.25,7.0,72.72727272727273
sample_9.csv,180,Awake,Raw,9,4,6.0,0.0,6.0,44.44444444444444
sample_9.csv,180,Drowsy,Processed,6,6,7.5,1.75,6.0,100.0
sample_9.csv,180,Drowsy,Raw,5,1,6.0,0.0,6.0,20.0
