schema_version,analysis_id,session_id,session,source_file,representation,window_uid,window_size_s,window_id,source_row_index,state,label_code,start_time_s,end_time_s,sampling_rate_hz,n_samples,stationarity_score_processed,stationarity_pass_processed,symbolic_n_levels,symbolic_word_length,peak_min_distance_s,peak_prominence_fraction,ppi_min_s,ppi_max_s,abrupt_change_threshold,min_peak_coverage_pct,prominence_threshold,min_required_intervals,n_peaks,peak_coverage_pct,n_intervals,n_words,mean_hr_bpm,median_hr_bpm,mean_ppi_ms,median_ppi_ms,sd_ppi_ms,min_ppi_ms,max_ppi_ms,ppi_cv,n_invalid_ppi,invalid_ppi_pct,n_abrupt_gt_20pct,abrupt_gt_20pct,ppi_qc_pass,pct_0v,pct_1v,pct_2lv,pct_2uv,pct_2v,symbolic_invariants_pass,symbolic_valid,analysis_included,failure_stage,invalid_reason
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w012,60,12,11,Drowsy,1,743.4398122,803.6100857,24.9893795136852,1499,0.3196827516878667,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,454.93896869098126,28,97,98.50851500008464,96,94,97.98859258418759,99.9575180547408,615.678218750529,600.2550000005158,45.85480692436778,520.221000000447,720.306000000619,0.07447852713943094,0,0.0,0,0.0,True,25.53191489361702,41.48936170212766,6.382978723404255,26.595744680851062,32.97872340425532,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w013,60,13,12,Awake,0,832.4094615,892.5701492,24.9893795136852,1499,0.05243397910085684,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,459.5849448432627,28,97,98.1083450000843,96,94,98.1069390046202,99.9575180547408,613.1771562505269,600.2550000005158,31.533370163054187,560.2380000004814,680.2890000005846,0.05142619851638853,0,0.0,0,0.0,True,28.72340425531915,47.87234042553192,2.127659574468085,21.27659574468085,23.404255319148938,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w014,60,14,13,Awake,0,892.6099522,952.7697241,24.9893795136852,1499,0.1518262682846658,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,444.6100775941493,28,97,98.1083450000843,96,94,98.11022017314879,99.9575180547408,613.1771562505269,600.2550000005158,31.533370163054187,560.2380000004814,680.2890000005846,0.05142619851638853,0,0.0,0,0.0,True,34.04255319148936,36.170212765957444,2.127659574468085,27.659574468085104,29.787234042553187,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w015,60,15,14,Awake,0,952.8103266,1012.969922,24.9893795136852,1499,0.17017036834177432,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,442.48517557826347,28,94,99.3755500000854,93,91,94.01827248716408,93.7101731763195,641.1325806457122,640.2720000005502,44.92613718443674,560.2380000004814,760.3230000006533,0.07007308400891075,0,0.0,2,2.1739130434782608,True,14.285714285714286,45.05494505494506,1.098901098901099,39.56043956043956,40.659340659340664,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w016,60,16,15,Awake,0,1013.009935,1073.169735,24.9893795136852,1499,0.07131680046724011,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,459.12403957763775,28,93,98.97538000008505,92,90,93.35808952725247,93.7101731763195,645.4916086962068,640.2720000005502,42.04030934634221,560.2380000004814,720.306000000619,0.0651291337950266,0,0.0,0,0.0,True,20.0,38.88888888888889,5.555555555555555,35.55555555555556,41.111111111111114,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w017,60,17,16,Awake,0,1073.210405,1133.370006,24.9893795136852,1499,0.06489556486841763,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,472.42622323727693,28,91,98.50851500008464,90,88,91.76955323325939,93.7101731763195,656.7234333338976,640.2720000005502,44.03890596851077,560.2380000004814,760.3230000006533,0.06705852682147263,0,0.0,0,0.0,True,21.590909090909093,45.45454545454546,12.500000000000002,20.454545454545457,32.95454545454546,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w018,60,18,17,Drowsy,1,1135.779539,1195.939945,24.9893795136852,1499,0.26580292250941734,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,460.09018116328957,28,95,98.70860000008481,94,92,95.57545440897727,93.7101731763195,630.0548936175627,640.2720000005502,38.898168193481375,560.2380000004814,760.3230000006533,0.06173774473862303,0,0.0,0,0.0,True,26.08695652173913,36.95652173913043,4.3478260869565215,32.608695652173914,36.95652173913044,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w019,60,19,18,Drowsy,1,1195.97956,1256.140147,24.9893795136852,1499,0.012394223036977826,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,513.0161975710886,28,92,97.77487000008402,91,89,93.49652463505913,93.7101731763195,644.6694725280265,640.2720000005502,43.20293895005164,560.2380000004814,720.306000000619,0.06701564257515455,0,0.0,0,0.0,True,15.730337078651687,43.82022471910113,2.247191011235955,38.20224719101124,40.449438202247194,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w020,60,20,19,Drowsy,1,1256.180213,1316.339509,24.9893795136852,1499,0.2026687428277745,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,439.4746821367324,28,91,99.44224500008545,90,88,90.81039283868647,88.19781004830071,662.9483000005697,680.2890000005846,38.43448821793324,560.2380000004814,760.3230000006533,0.057975091297315665,0,0.0,0,0.0,True,28.40909090909091,40.909090909090914,2.272727272727273,28.40909090909091,30.681818181818183,True,True,True,,
1.0.0,symbolic_processed_v1,12,session_12,sample_12.csv,processed,session_12__processed__60s__w021,60,21,20,Drowsy,1,1316.379899,1376.540365,24.9893795136852,1499,0.22283037042570172,True,6,3,0.3,0.2,0.3,2.0,0.2,90.0,490.07693604578003,28,87,98.1083450000843,86,84,88.23276634067865,88.19781004830071,684.4768255819836,680.2890000005846,56.602260552743026,600.2550000005158,840.3570000007221,0.08269419567947588,0,0.0,0,0.0,True,27.38095238095238,42.857142857142854,7.142857142857142,22.61904761904762,29.761904761904763,True,True,True,,
