session,session_id,state,window_id,window_30_id,parent_window_60_id,subwindow,duration_s,window_size_s,representation,fs,n_samples,m,tau_seconds,tau_samples,theiler_seconds,theiler_samples,n_horizons,horizon_min_s,horizon_max_s,Mean_CC,Mean_NRMSE,mean_valid_fraction,minimum_valid_fraction,valid,status,failure_reason
sample_12,12,Awake,12,sample_12_awake_w0007_60s_h2,sample_12_awake_w0007_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.8603638416683334,0.46659927436096527,1.0,1.0,True,ok,
sample_12,12,Awake,13,sample_12_awake_w0008_60s_h1,sample_12_awake_w0008_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7553370616916246,0.5661402002961589,1.0,1.0,True,ok,
sample_12,12,Awake,14,sample_12_awake_w0008_60s_h2,sample_12_awake_w0008_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.8976546459495319,0.40498593035023217,1.0,1.0,True,ok,
sample_12,12,Awake,15,sample_12_awake_w0009_60s_h1,sample_12_awake_w0009_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.8967733700401285,0.3920800296081297,1.0,1.0,True,ok,
sample_12,12,Awake,16,sample_12_awake_w0009_60s_h2,sample_12_awake_w0009_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6886871665866451,0.6449187688260839,1.0,1.0,True,ok,
sample_12,12,Awake,17,sample_12_awake_w0013_60s_h1,sample_12_awake_w0013_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7836904382029671,0.5441479998284721,1.0,1.0,True,ok,
sample_12,12,Awake,18,sample_12_awake_w0013_60s_h2,sample_12_awake_w0013_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.690151584624939,0.6244913154615458,1.0,1.0,True,ok,
sample_12,12,Awake,19,sample_12_awake_w0014_60s_h1,sample_12_awake_w0014_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7888362484711041,0.5429246949116997,1.0,1.0,True,ok,
sample_12,12,Awake,20,sample_12_awake_w0014_60s_h2,sample_12_awake_w0014_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.652148558197455,0.6881574772529497,1.0,1.0,True,ok,
sample_12,12,Awake,21,sample_12_awake_w0015_60s_h1,sample_12_awake_w0015_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6922400663689448,0.6444207842905298,1.0,1.0,True,ok,
sample_12,12,Awake,22,sample_12_awake_w0015_60s_h2,sample_12_awake_w0015_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7080559463478281,0.6218001190132041,1.0,1.0,True,ok,
sample_12,12,Awake,23,sample_12_awake_w0016_60s_h1,sample_12_awake_w0016_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7274752345665362,0.6209125772950445,1.0,1.0,True,ok,
sample_12,12,Awake,24,sample_12_awake_w0016_60s_h2,sample_12_awake_w0016_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7071300651420435,0.6264536223164021,1.0,1.0,True,ok,
sample_12,12,Awake,25,sample_12_awake_w0017_60s_h1,sample_12_awake_w0017_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6882728448312423,0.6393234068437307,1.0,1.0,True,ok,
sample_12,12,Awake,26,sample_12_awake_w0017_60s_h2,sample_12_awake_w0017_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.5905946472843986,0.7089220944464371,1.0,1.0,True,ok,
sample_12,12,Awake,27,sample_12_awake_w0028_60s_h1,sample_12_awake_w0028_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6287578733861638,0.7058977523098843,1.0,1.0,True,ok,
sample_12,12,Awake,28,sample_12_awake_w0028_60s_h2,sample_12_awake_w0028_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.5934639939362341,0.7364544971665645,1.0,1.0,True,ok,
sample_12,12,Awake,29,sample_12_awake_w0029_60s_h1,sample_12_awake_w0029_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6158998690468823,0.6751028078573272,1.0,1.0,True,ok,
sample_12,12,Awake,30,sample_12_awake_w0029_60s_h2,sample_12_awake_w0029_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7417823866547523,0.5737427948050065,1.0,1.0,True,ok,
sample_12,12,Awake,31,sample_12_awake_w0030_60s_h1,sample_12_awake_w0030_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6865492791087443,0.6281108522230786,1.0,1.0,True,ok,
sample_12,12,Awake,32,sample_12_awake_w0030_60s_h2,sample_12_awake_w0030_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.6602236714213129,0.6173784302890264,1.0,1.0,True,ok,
sample_12,12,Awake,33,sample_12_awake_w0031_60s_h1,sample_12_awake_w0031_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6312003650340331,0.6501121504710741,1.0,1.0,True,ok,
sample_12,12,Awake,34,sample_12_awake_w0031_60s_h2,sample_12_awake_w0031_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.8670678150521262,0.46292827641521356,1.0,1.0,True,ok,
sample_12,12,Awake,35,sample_12_awake_w0032_60s_h1,sample_12_awake_w0032_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.5453576197442377,0.7503570833011405,1.0,1.0,True,ok,
sample_12,12,Awake,36,sample_12_awake_w0032_60s_h2,sample_12_awake_w0032_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7493719847314432,0.6038368837883783,1.0,1.0,True,ok,
sample_12,12,Awake,37,sample_12_awake_w0033_60s_h1,sample_12_awake_w0033_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.7499008313871519,0.5717691858060054,1.0,1.0,True,ok,
sample_12,12,Awake,38,sample_12_awake_w0033_60s_h2,sample_12_awake_w0033_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.7073939369142827,0.6188937756836642,1.0,1.0,True,ok,
sample_12,12,Awake,39,sample_12_awake_w0034_60s_h1,sample_12_awake_w0034_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.5992159082535747,0.6696979050637754,1.0,1.0,True,ok,
sample_12,12,Awake,40,sample_12_awake_w0034_60s_h2,sample_12_awake_w0034_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.5343418704904601,0.7915184993537455,1.0,1.0,True,ok,
sample_12,12,Drowsy,41,sample_12_drowsy_w0010_60s_h1,sample_12_drowsy_w0010_60s,h1,30,30,Processed,24.9893795136852,750,8,0.16,4,1.0,25,18,0.04,4.0,0.6025311421545285,0.7201625828538353,1.0,1.0,True,ok,
sample_12,12,Drowsy,42,sample_12_drowsy_w0010_60s_h2,sample_12_drowsy_w0010_60s,h2,30,30,Processed,24.9893795136852,749,8,0.16,4,1.0,25,18,0.04,4.0,0.714801901700729,0.6412941245631903,1.0,1.0,True,ok,
