session,window_id,state,window_size_s,representation,surrogate_id,surrogate_seed,rho_star,sampling_rate_hz,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,max_follow_s,surrogate_lle,surrogate_fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
8,2,Awake,60,processed,14,14964485729157715661,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6568870694807216,0.8754939641863713,1472,1472,1394,True,ok
8,2,Awake,60,processed,15,6120266612846867472,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6721869360715665,0.863451560280362,1472,1472,1403,True,ok
8,2,Awake,60,processed,16,1496397291046671880,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.663211106228503,0.934486473875501,1472,1472,1422,True,ok
8,2,Awake,60,processed,17,13169646078476239609,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6775137401785744,0.9083205409684011,1472,1472,1428,True,ok
8,2,Awake,60,processed,18,14545302133050904062,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.7131015349239717,0.9352768107339681,1472,1472,1401,True,ok
8,2,Awake,60,processed,19,9301513546273433650,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6805165719299304,0.8716645951750692,1472,1472,1419,True,ok
8,2,Awake,60,processed,20,10042621589026311905,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.6936197915314949,0.9421542512396028,1472,1472,1410,True,ok
8,2,Awake,60,processed,21,16834800786295971749,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.7051406680655651,0.9065296479188513,1472,1472,1388,True,ok
8,2,Awake,60,processed,22,10970681564566085262,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.666058920807106,0.9104379653379834,1472,1472,1415,True,ok
8,2,Awake,60,processed,23,7582444191157984283,115.00613197126222,24.993751562005933,8,0.16,4,0.5778700863028104,14,0.8,1.3,5.0,0.7286583241229136,0.9297424308066072,1472,1472,1410,True,ok
