config_hash,experiment,setting,session,window_id,state,fs,n_samples,m,tau_s,tau_samples,fit_start_s,fit_end_s,theiler_multiplier,theiler_base_s,theiler_s,theiler_samples,lle,fit_r2,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,11,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5232115252084582,0.523211525208458,13,0.6895502093040389,0.9688881498350886,1472,1402,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,12,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5466173430117337,0.5466173430117338,14,0.7257817445120944,0.9778498107856312,1472,1422,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,13,Drowsy,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5487617897685365,0.5487617897685365,14,0.7583551340334036,0.9801402102857234,1472,1400,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,14,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.4886886102073729,0.4886886102073729,12,0.7620085001020849,0.9718296732647704,1472,1408,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,15,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.49495729772850944,0.4949572977285094,12,0.7226874244869205,0.9552675430728714,1472,1426,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,16,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.4986531029401136,0.4986531029401136,12,0.7912909243070774,0.9851512694025324,1472,1433,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,17,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.507532925972993,0.507532925972993,13,0.7490007020153149,0.9625135365172643,1472,1424,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,18,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.49901447063098486,0.4990144706309848,12,0.8079072707678471,0.9659635542673178,1472,1400,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,19,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.5006233887012274,0.5006233887012272,13,0.8696714140263174,0.9918817780490388,1472,1396,True,ok
bc330dd9c3e1f1b01da77bddae27b46d527be4483da6954817e855004b3ce641,fit_range,F2: 0.80–1.30 s (nominal),4,20,Awake,24.991877639597277,1500,8,0.16,4,0.8,1.3,1.0,0.518178031068808,0.5181780310688081,13,0.8701487376495088,0.9939493806308056,1472,1427,True,ok
