session,rule,segment_id,retained_interval_id,state,source_start_index,source_end_index,filtered_start_index,filtered_end_index,start_s,end_s,duration_s,n_samples
17,T30,3,3,Awake,29234,49527,26247,46540,1177.250078,1992.249969,815.040094,20293
17,T30,4,4,Drowsy,51020,59054,46540,54574,2052.250003,2374.860415,322.6504234,8034
17,T30,5,5,Drowsy,59054,68749,54574,64269,2375.01883,2764.220021,389.24120240000013,9695
17,T30,6,6,Drowsy,68749,68752,64269,64272,2764.344043,2764.34439,0.04035840000017288,3
18,T30,1,1,Awake,0,50,0,50,0.072195292,1.940416098,1.9082248059999536,50
18,T30,2,2,Awake,50,22165,50,22165,2.052605152,890.2705061,888.257522548,22115
18,T30,3,3,Drowsy,23658,33903,22165,32410,950.2810471,1361.710366,411.46932289999995,10245
18,T30,4,4,Drowsy,33903,42526,32410,41033,1361.830328,1708.110957,346.3198829999999,8623
18,T30,5,5,Awake,44020,50249,41033,47262,1768.150175,2018.28043,250.170842,6229
18,T30,6,6,Drowsy,51744,69934,47262,65452,2078.361162,2808.780125,730.458967,18190
18,T30,7,7,Drowsy,69934,69937,65452,65455,2808.928798,2808.929107,0.04031299999996918,3
19,T30,1,1,Awake,0,152,0,152,0.071507692,4.919271946,4.887770304000102,152
19,T30,2,2,Awake,152,18828,152,18828,5.092982769,755.049247,749.997279131,18676
19,T30,4,3,Drowsy,20322,27186,18828,25692,815.0893476,1090.739391,275.6905433999999,6864
19,T30,5,4,Awake,28679,51099,25692,48112,1150.749461,2051.180243,900.4707880499998,22420
19,T30,6,5,Awake,51099,61735,48112,58748,2051.289698,2478.329638,427.07993099999976,10636
19,T30,7,6,Drowsy,63229,73038,58748,68557,2538.36998,2932.249325,393.9193510500004,9809
19,T30,8,7,Drowsy,73038,73041,68557,68560,2932.399841,2932.400141,0.04030605000025389,3
21,T30,1,1,Awake,0,23,0,23,0.120252132,0.810717583,0.7304654509999636,23
21,T30,2,2,Awake,23,6447,23,6447,0.948788881,258.8504791,257.941332319,6424
21,T30,3,3,Drowsy,7941,9076,6447,7582,318.9008226,364.4500136,45.58917859999997,1135
21,T30,4,4,Awake,10570,33447,7582,30459,424.5001781,1343.310309,918.8504919,22877
21,T30,5,5,Drowsy,34941,55480,30459,50998,1403.350529,2228.170537,824.8603970000001,20539
21,T30,6,6,Awake,56973,65465,50998,59490,2288.170793,2629.16028,341.0293710000001,8492
21,T30,7,7,Drowsy,66958,69657,59490,62189,2689.160837,2797.500918,108.38008100000025,2699
21,T30,8,8,Drowsy,69657,69660,62189,62192,2797.637095,2797.637393,0.040297999999893364,3
22,T30,1,1,Awake,0,45,0,45,0.074147463,1.750241756,1.7160932929999662,45
22,T30,2,2,Awake,45,35039,45,35039,1.822562456,1407.509735,1405.726893544,34994
22,T30,3,3,Drowsy,36532,44287,35039,42794,1467.51955,1778.979637,311.5004490000001,7755
22,T30,4,4,Awake,45780,51818,42794,48832,1838.989456,2081.469773,242.5207170000001,6038
22,T30,6,5,Drowsy,53311,62938,48832,58459,2141.470233,2528.099818,386.6700030000002,9627
22,T30,7,6,Awake,64432,69982,58459,64009,2588.150463,2811.03038,222.91899700000022,5550
22,T30,8,7,Drowsy,71475,74707,64009,67241,2871.040318,3000.819561,129.81924199999992,3232
22,T30,9,8,Drowsy,74707,74710,67241,67244,3000.962761,3000.963109,0.040346999999997024,3
23,T30,1,1,Awake,0,51,0,51,0.073789358,1.979643106,1.9458577479999535,51
23,T30,2,2,Awake,51,33532,51,33532,2.101407051,1346.739614,1344.678210949,33481
23,T30,3,3,Awake,33532,60520,33532,60520,1346.813393,2430.539541,1083.767096,26988
23,T30,4,4,Drowsy,62014,69136,60520,67642,2490.580415,2776.550189,286.0091970000003,7122
23,T30,5,5,Awake,70630,95571,67642,92583,2836.589624,3838.060298,1001.5101019999997,24941
23,T30,6,6,Drowsy,97066,109449,92583,104966,3898.129848,4395.29048,497.2006359999996,12383
23,T30,7,7,Drowsy,109449,109452,104966,104969,4395.432473,4395.432852,0.04038300000001982,3
25,T30,1,1,Awake,0,83,0,83,0.088599682,2.000411749,1.9518185670000041,83
25,T30,2,2,Awake,83,25996,83,25996,2.151393652,1043.04008,1040.928692848,25913
25,T30,3,3,Awake,25996,26260,25996,26260,1043.136218,1053.640364,10.544152499999996,264
25,T30,4,4,Awake,26260,30944,26260,30944,1053.761065,1241.810239,188.0891805,4684
25,T30,5,5,Awake,30944,39087,30944,39087,1241.962976,1568.9007,326.9877469999999,8143
25,T30,6,6,Drowsy,40580,54807,39087,53314,1628.920011,2200.279792,571.3997860000002,14227
25,T30,7,7,Awake,56301,61879,53314,58892,2260.329724,2484.319811,224.03095299999995,5578
25,T30,8,8,Drowsy,63373,70608,58892,66127,2544.370395,2834.920218,290.5898295000003,7235
25,T30,9,9,Drowsy,70608,70613,66127,66132,2835.111874,2835.112487,0.04061949999970693,5
