session,representation,state,window_size,window_id,fs,tau_samples,theiler_samples,epsilon,target_rr,achieved_rr,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax,n_diagonal_lines,n_vertical_lines
sample_1,Raw,Awake,60,14,50.00000000004548,10,70,314.1400961354663,0.02,0.0200006359502686,0.9325180384003914,4.339156660786434,1.9133688851061643,118,0.9630671395377278,4.759314658689148,15,17573,33093
sample_1,Raw,Awake,60,15,50.00000000004548,10,70,237.84528584556568,0.02,0.0200001467577543,0.9348889541140788,4.454259410325137,1.945144114347328,201,0.9573366108991292,4.31149482264816,10,17162,36312
sample_1,Raw,Awake,60,16,50.00000000004548,10,70,252.86359959472225,0.02,0.0200008805465258,0.9511073608002836,5.229140052444026,2.08716188315376,176,0.9752234899903388,4.909801748553134,24,14873,32484
sample_1,Raw,Awake,60,17,50.00000000004548,10,70,248.88551585015952,0.02,0.0200008805465258,0.9509361509581636,4.911198130486958,2.028740978112665,189,0.9745631091707329,4.8065985102083895,13,15833,33159
sample_1,Raw,Awake,60,22,50.00000000004548,10,70,270.6030302860632,0.02,0.0200003913540115,0.9447590162531032,4.8757889421863165,2.0284361791790104,180,0.965396421626778,4.47566265060241,22,15844,35275
sample_1,Raw,Awake,60,23,50.00000000004548,10,70,252.70734061360383,0.02,0.0200003913540115,0.93695654832516,5.207231699857269,2.057103430189017,326,0.9582482358840148,3.8665186281766593,10,14713,40530
sample_1,Raw,Awake,60,27,50.00000000004548,10,70,310.1344547118034,0.02,0.0200001467577543,0.978573525095392,7.134094151212554,2.364965675366079,154,0.9883817630368849,6.121416398409393,31,11216,26405
sample_1,Raw,Awake,60,28,50.00000000004548,10,70,298.38062939808947,0.02,0.0200003913540115,0.9747459306093996,6.207476635514019,2.2098162453570085,192,0.991219166187675,6.049259245437923,19,12840,26797
sample_1,Raw,Awake,60,29,50.00000000004548,10,70,352.23855552735847,0.02,0.0200003913540115,0.98005356553217,7.334614680578436,2.374154485876549,258,0.9909990338636891,6.298717450446949,19,10926,25730
sample_1,Raw,Awake,60,30,50.00000000004548,10,70,250.1687030766616,0.02,0.0200001467577543,0.960400156540456,5.362605845397432,2.095694179859513,199,0.9771487623520204,4.751114943212226,24,14644,33634
sample_1,Raw,Awake,60,33,50.00000000004548,10,70,203.483119689515,0.02,0.0200001467577543,0.968985422170042,6.567094902610858,2.262838984340293,214,0.9809032873495744,4.687012417823229,11,12065,34225
sample_1,Raw,Awake,120,1,50.00000000004548,10,70,484.5372844268531,0.02,0.0200000349510423,0.9705683612067408,5.656069658496843,2.17163286641252,306,0.9894491725355188,6.338980995120495,17,58916,107183
