session,representation,window_size,n_awake_windows,n_drowsy_windows,delta_DET,delta_Lmean,delta_ENTR,delta_Lmax,delta_LAM,delta_TT,delta_Vmax
sample_23,Raw,180,16,3,0.012469896095500643,0.15758237203330117,0.048223540938554965,-3.3541666666666714,0.023811996662836843,0.10267350960364174,2.375
sample_25,Processed,60,27,15,-0.0638788906485791,-0.24811708191501491,-0.18321951331722675,-11.037037037037038,0.08443740568326646,0.005717628722980983,0.5037037037037035
sample_25,Processed,120,12,7,-0.08717068924012428,-0.31298424891605237,-0.22371419325822517,-10.57142857142857,0.10824159018885593,0.01778322154969203,0.22619047619047628
sample_25,Processed,180,6,4,-0.0912406663322507,-0.37164292038799873,-0.23688985444891797,-11.083333333333343,0.12679643019404568,0.015322633914476746,0.16666666666666652
sample_25,Raw,60,27,15,0.016631378849489842,-0.06144734567146548,-0.020037507187212977,-4.666666666666657,0.08948506297057934,0.14762278493232062,0.6074074074074067
sample_25,Raw,120,12,7,0.01476998772471716,-0.11862342738187781,-0.036647450601717146,2.988095238095241,0.09674959920050885,0.1948075465051602,0.4761904761904763
sample_25,Raw,180,6,4,-0.006440873753094989,-0.2917381052728265,-0.0896420132692688,-10.333333333333343,0.06507156482141896,0.17204004669156658,0.5
sample_4,Processed,60,29,17,0.01575884916060044,-0.005760483532596616,-0.028335154725373846,-3.39756592292089,-0.015376863651713313,-0.00405879673911036,-0.3995943204868153
sample_4,Processed,120,13,7,0.0127568426214828,0.003913596542409081,-0.03688379733822411,-1.3186813186813282,-0.028093660935756493,-0.008048580166505559,-0.8021978021978025
sample_4,Processed,180,8,5,0.013064770291701944,0.017023513237517385,-0.024820100178955196,17.025000000000006,-0.024959718077209536,-0.002849084449106698,-0.9500000000000002
sample_4,Raw,60,29,17,0.03203399558347575,0.19234778618133674,0.08305104034194777,0.6470588235294059,0.014487797231665822,0.01894137579178956,0.1622718052738339
sample_4,Raw,120,13,7,0.03904604102362885,0.26763560398485353,0.10086235020767931,8.318681318681328,0.023816023003602305,0.011206481216327724,0.197802197802198
sample_4,Raw,180,8,5,0.0419263835293624,0.29527600507498253,0.10945046295207206,17.025000000000006,0.030954947423473822,0.011007692536531888,0.875
sample_5,Processed,60,33,16,-0.03702193868424619,-0.2790451146299491,-0.15098289408130872,7.928030303030297,0.044377871312830774,0.017352478590499043,-0.34659090909090917
sample_5,Processed,120,14,8,-0.04061767305200048,-0.2622537163293397,-0.1816604143670859,29.69642857142857,0.09344795661622379,0.07104029758349073,1.6428571428571432
sample_5,Processed,180,9,3,-0.023026151040251075,-0.21173855468820557,-0.1914386511407744,68.99999999999999,0.10732528504133038,0.04839862377005222,1.7777777777777777
sample_5,Raw,60,35,19,0.02416398256774266,0.4398294346106528,0.11222060841756254,28.13984962406016,0.04225185469892623,0.44480277589612616,17.0812030075188
sample_5,Raw,120,16,9,0.043222915543603024,0.752864277570148,0.19809960463343446,51.888888888888886,0.04882306408117543,0.6301282393060976,47.71527777777777
sample_5,Raw,180,9,5,0.049811692899260684,0.7375603522995462,0.21020351103171486,79.4,0.045880490185322476,0.7920610919082711,84.64444444444445
sample_6,Processed,60,31,17,-0.01004416771035399,-0.06856965852644681,0.008035025136056584,2.3927893738140398,0.012111629264065504,0.006714981941877252,-0.017077798861480087
sample_6,Processed,120,14,7,-0.012820745502303277,-0.04261394116488049,0.005221139002758557,0.2857142857142776,0.014591115481580208,-0.003202463458439553,0.0
sample_6,Processed,180,8,5,-0.013709661074488677,-0.060717739695201445,-0.017253778212415805,-2.674999999999997,0.040897235494707584,0.03164379578821075,0.375
sample_6,Raw,60,32,18,0.004639669075183761,0.06713886815266923,0.003227010367283567,1.2256944444444429,0.018506896837188425,0.06365155835435177,0.06944444444444464
sample_6,Raw,120,14,8,0.011040554933816282,0.09595782520929985,-0.002242286059720211,19.42857142857143,0.02494558944963865,0.11999059526156763,-0.03571428571428559
sample_6,Raw,180,9,5,0.001461485859064915,0.013883455755261398,-0.020335115249049407,40.44444444444444,0.014609249693918636,0.0705148718654236,-0.3555555555555552
sample_7,Processed,60,34,11,-0.027187215050151203,-0.10446174106097317,-0.07149498173794666,15.756684491978618,0.09928124307875821,0.062023565423154015,0.5187165775401068
sample_7,Processed,120,17,5,-0.03518596018283504,-0.17407735155068238,-0.05997646446009397,31.294117647058826,0.099545629949291,0.055443294101581664,0.6470588235294117
sample_7,Processed,180,11,1,-0.05566643896286838,-0.29823433583905823,-0.09371902186164371,-21.27272727272728,0.08987912659394581,0.06727454830211066,0.36363636363636376
sample_7,Raw,60,37,12,0.011233860075187119,0.22347182565951984,0.07824453580237423,27.38063063063062,0.08176056087166905,0.2047860432597859,0.6081081081081079
sample_7,Raw,120,18,6,0.011278305454497484,0.2471015427889669,0.07741950781976858,35.888888888888886,0.08118031283923599,0.22349825690302705,7.166666666666667
sample_7,Raw,180,11,3,0.010965714153858719,0.19373992128888373,0.062216040808440454,41.48484848484847,0.09361846058452383,0.2888100641271474,24.87878787878788
