session,representation,state,window_size,n_windows,DET_mean,DET_std,DET_median,Lmean_mean,Lmean_std,Lmean_median,ENTR_mean,ENTR_std,ENTR_median,Lmax_mean,Lmax_std,Lmax_median,LAM_mean,LAM_std,LAM_median,TT_mean,TT_std,TT_median,Vmax_mean,Vmax_std,Vmax_median
sample_11,Raw,Drowsy,180,6,0.7565447720704647,0.010596724774523582,0.7541582168985393,2.972506612235804,0.14185199993068648,2.9323350060320355,1.1203052116685301,0.055245671744781795,1.1071696898037289,121.66666666666667,57.56271941688185,102.0,0.7993860580990155,0.018679662277090687,0.8073994095361443,2.688026627457956,0.0514843230185701,2.6919867640234454,5.166666666666667,0.408248290463863,5.0
sample_12,Processed,Awake,60,20,0.6326469316161276,0.03847573849562608,0.6341727137296362,3.6493433875318857,0.23248079470872302,3.6148503948939266,1.1365373039505173,0.0908102263386911,1.1179739082344051,92.45,21.495348334000077,87.5,0.23796434235186698,0.07116956879845979,0.23566725935893118,2.0187335754855815,0.04008322814970815,2.0064537151793074,2.95,0.3940344628262062,3.0
sample_12,Processed,Awake,120,8,0.6163017994086667,0.024146058520874775,0.6148422341310174,3.5808277674873645,0.1697875622084362,3.5065532309591063,1.1094321184457572,0.06530825075541277,1.0921588169622287,114.625,22.69007020073507,112.0,0.2589573420031414,0.06627149721136232,0.28325383442668384,2.0193849011868004,0.02381879226752078,2.0122430049620355,2.875,0.35355339059327384,3.0
sample_12,Processed,Awake,180,5,0.6210696000405536,0.031991894476992126,0.6087849140771532,3.6115372521346516,0.0979326838117092,3.6123146164899818,1.1173325147021178,0.04188499374274286,1.1014900727082808,125.2,22.96083622170586,131.0,0.27803670096821614,0.03662384775521332,0.2813149490545952,2.018872185145944,0.01994153354033563,2.0136811963092587,3.2,0.4472135954999579,3.0
sample_12,Processed,Drowsy,60,35,0.6569478865600736,0.046613112796357305,0.6651929453601807,3.7326110887932025,0.19566794986883027,3.774434087882823,1.209146677146563,0.11795369885189023,1.2092374329622255,93.02857142857142,21.518098694554116,92.0,0.23577710194078105,0.07796433937949898,0.2393675813349992,2.017976457028828,0.027176365180640698,2.0083556676651426,3.0,0.34299717028501775,3.0
sample_12,Processed,Drowsy,120,16,0.6524090767347316,0.041479804183229746,0.6582047491453387,3.7345359149560022,0.12283004169767497,3.7204460171883698,1.2193871537500733,0.09486259182206143,1.2160062461838212,128.875,20.99484063605469,131.5,0.2471775963226462,0.07378099121896727,0.2397036403954541,2.0190730802426686,0.0207037773053349,2.010744956799577,3.125,0.34156502553198664,3.0
sample_12,Processed,Drowsy,180,10,0.6451051857859786,0.04217106233029053,0.6521518730673697,3.69879188591299,0.09084436853792341,3.6524224958348728,1.2120310271533845,0.08715949231764848,1.200105689490073,145.6,18.075151759006367,143.5,0.26777766512901097,0.07236190405433142,0.2824149642621787,2.022678064026954,0.027741011616023558,2.0116401530565042,3.2,0.42163702135578385,3.0
sample_12,Raw,Awake,60,21,0.691005441863956,0.05134150034122863,0.7010339589356593,3.2884761314461834,0.25977585803860015,3.293986636971047,1.2583606429356793,0.08804806682599453,1.2663936136375362,83.23809523809524,18.308207891284066,77.0,0.5273016413154027,0.10437348666621075,0.5437594942911746,2.1719968821462516,0.09273322896591259,2.1521617069062327,4.285714285714286,0.7171371656006362,4.0
sample_12,Raw,Awake,120,9,0.6898743033044938,0.044276292070640745,0.6873440451482008,3.3282999702781106,0.2415913336055119,3.2361392043981123,1.2767839182214662,0.08120569163491465,1.25462149463294,118.88888888888889,20.990738698557305,119.0,0.5711996248014531,0.10443305091606732,0.578776147944311,2.2126494614550896,0.10395295544298155,2.2247081496577543,4.777777777777778,0.9718253158075502,5.0
sample_12,Raw,Awake,180,6,0.6905280538154414,0.051835687916945684,0.6804742179688616,3.3388355969836003,0.1294106763265528,3.3481719568971897,1.2811709137461234,0.035829269196332794,1.2853627721891274,136.33333333333334,28.444097220102922,132.5,0.5890059923412302,0.10025729229206767,0.5689097986002,2.2426175180069525,0.12833263473615558,2.207354338678999,5.166666666666667,0.983192080250175,5.5
sample_12,Raw,Drowsy,60,35,0.7152385900226026,0.041740291753759005,0.718919978438771,3.31900314505452,0.26208604905134425,3.2758846657929226,1.2649494997611832,0.10247590404151152,1.2726357914787072,86.48571428571428,24.49294187476613,82.0,0.6224897682897835,0.0789811229174188,0.6253981476944186,2.273227243439653,0.11226987290994113,2.247698504027618,4.8,0.5841031335203016,5.0
sample_12,Raw,Drowsy,120,16,0.719393495953919,0.035585643205449165,0.7279680977589142,3.3261792251142,0.22227925523465195,3.291567320362248,1.2811104328372167,0.08747772983566854,1.2704091228539038,114.9375,29.77128090403009,112.0,0.6457022778153495,0.053610287425200416,0.6452041696788787,2.305568102416438,0.09732701381522535,2.3063153598757076,5.125,0.4999999999999999,5.0
