representation,window_size,metric,n_paired_sessions,mean_delta,ci_low,ci_high,effect_size_dz,fraction_sessions_same_direction,raw_p,fdr_q,fdr_significant,window_direction_robustness,cross_rep_mean_difference,cross_rep_ci_low,cross_rep_ci_high,cross_rep_effect_size_dz,cross_rep_raw_p,cross_rep_fdr_q,cross_rep_fdr_significant
Raw,120,DET,20,0.0046319606073763455,-0.006263000136151186,0.01510984409315289,0.1851027659115337,0.55,0.41431427001953125,0.4244194961175686,False,True,0.028786647312984616,0.014166871585453747,0.043713198262355396,0.8373132160996448,0.001270294189453125,0.00391387939453125,True
Raw,120,ENTR,20,0.03514950766100872,-0.0026197588136020805,0.07705593340982063,0.3746691780293013,0.65,0.10944366455078125,0.1436448097229004,False,True,0.07566254625538486,0.027293470971248894,0.12795975089282463,0.6449205596400436,0.0071315765380859375,0.012198081383338341,True
Raw,120,LAM,20,0.043019590339925445,0.02035865393232318,0.06820811372050235,0.7634200767937273,0.7,0.0015087127685546875,0.00949859619140625,True,True,0.013405657742160525,-0.005312114373446856,0.033324865558238215,0.2957110510652167,0.20222091674804688,0.21233196258544923,False
Raw,120,Lmax,20,23.36054181929182,11.111861556845932,37.6556943108974,0.7536299760875627,0.75,0.0009555816650390625,0.00949859619140625,True,True,16.26065084854946,6.7251375441616394,27.064531009131034,0.6737478393734484,0.0028018951416015625,0.0065377553304036455,True
Raw,120,Lmean,20,0.23375158295103118,0.04724883680432579,0.5129743688683637,0.4080762220706505,0.7,0.01264190673828125,0.03318500518798828,True,True,0.29525976843508156,0.11794052373953438,0.5327129985179904,0.5909461423686497,0.0008697509765625,0.00391387939453125,True
Raw,120,TT,20,0.230931225698435,0.07975443637901773,0.45647548655136616,0.5017653481202771,0.8,0.0008029937744140625,0.00949859619140625,True,True,0.21622204447941534,0.06786555155457581,0.44173020195267876,0.46901417432094666,0.00130462646484375,0.00391387939453125,True
Raw,120,Vmax,20,15.593788086913088,1.3535472236097235,39.88312071608945,0.308288793148008,0.75,0.010896682739257812,0.030670928955078124,True,True,14.830121657238527,0.8793546850358966,38.96972478144275,0.29793698845687966,0.031528472900390625,0.040940228630514705,True
Raw,180,DET,20,0.003988628563972646,-0.0064821050431038765,0.01480827115161737,0.15994888835630985,0.55,0.4805908203125,0.4805908203125,False,True,0.028388731905332254,0.012397848546195541,0.043001568663422446,0.8031848947452924,0.002559661865234375,0.0065377553304036455,True
Raw,180,ENTR,20,0.030002641002530354,-0.013253037879633656,0.08162468558085585,0.2667590502204702,0.5,0.2674369812011719,0.2880090566781851,False,True,0.06678215900279391,0.013807123154380468,0.12649097857771532,0.5086977957922578,0.028987884521484375,0.040583038330078126,True
Raw,180,LAM,20,0.0390781174681123,0.015722517365557364,0.06667217328526757,0.6591709923535248,0.8,0.0034885406494140625,0.017712910970052082,True,True,0.0008955230925708797,-0.021312752101464955,0.023246856616836547,0.017213962198640607,0.93865966796875,0.93865966796875,False
Raw,180,Lmax,20,26.196465409590417,8.257404213841712,45.76249569354257,0.5975074970121427,0.65,0.010953903198242188,0.030670928955078124,True,True,16.878534312909313,1.5095519636613366,33.94001210421522,0.44515803205061805,0.056758880615234375,0.06621869405110677,False
Raw,180,Lmean,20,0.23751898109368547,0.002589355812254885,0.6009402862089684,0.3152289433377691,0.65,0.09021568298339844,0.12630195617675782,False,True,0.29751789039823784,0.07457782146084026,0.6264585666985897,0.44433205747022736,0.0075511932373046875,0.012198081383338341,True
Raw,180,TT,20,0.21358944679076183,0.065292846429487,0.4064377997158874,0.5273448228415617,0.85,0.005214691162109375,0.021024877374822445,True,True,0.19136957887105152,0.05109174611918924,0.3866814621113497,0.4761799606320264,0.009725570678710938,0.014588356018066406,True
Raw,180,Vmax,20,9.409858197358197,2.0841844336219335,19.272562049062053,0.4567040842585963,0.65,0.023820877075195312,0.054655175460012334,False,True,8.614809496059497,1.4299690552503057,18.50452060786435,0.42494832133337224,0.03314208984375,0.040940228630514705,True
