Time (s),IR Value raw,PPG processed,Label,source_row_index,segment_id,retained_interval_id,sqi_artifact,rule
10.85957432,128184,-190.4975084844206,0,271,2,2,False,T30
10.90030241,128403,-414.7998280938453,0,272,2,2,False,T30
10.939466,128532,-554.4087047759735,0,273,2,2,False,T30
10.98017383,128675,-689.2703679841532,0,274,2,2,False,T30
11.0195663,128824,-937.44066828548,0,275,2,2,False,T30
11.06046104,128947,-929.3567548051572,0,276,2,2,False,T30
11.09959984,128193,-272.12211188403523,0,277,2,2,False,T30
11.1394732,127403,469.4049319920944,0,278,2,2,False,T30
11.17972565,127301,645.7500972978548,0,279,2,2,False,T30
11.22008991,127382,528.622162937732,0,280,2,2,False,T30
11.25982523,127431,441.1058879129296,0,281,2,2,False,T30
11.30032158,127575,302.7448828573746,0,282,2,2,False,T30
11.34018493,127677,223.1438398451292,0,283,2,2,False,T30
11.38008094,127505,351.53968131258364,0,284,2,2,False,T30
11.41964722,127374,480.9646946870394,0,285,2,2,False,T30
11.45982528,127461,413.086102458987,0,286,2,2,False,T30
11.49951744,127657,191.57873378199875,0,287,2,2,False,T30
11.53946209,127978,-127.28922714170302,0,288,2,2,False,T30
11.58012962,128321,-472.07145190259416,0,289,2,2,False,T30
11.6195209,128517,-666.549672783045,0,290,2,2,False,T30
11.66025281,128571,-697.7682383791563,0,291,2,2,False,T30
11.69983935,128591,-804.0283900184525,0,292,2,2,False,T30
11.73947716,128687,-802.5748550749258,0,293,2,2,False,T30
11.78009367,128074,-173.15758057725694,0,294,2,2,False,T30
11.81952715,127066,691.3670120205878,0,295,2,2,False,T30
11.85985017,126963,947.7495966304892,0,296,2,2,False,T30
11.89954066,127134,724.8785089926944,0,297,2,2,False,T30
11.94020057,127326,528.7982215471834,0,298,2,2,False,T30
11.98007345,127469,395.3451550282049,0,299,2,2,False,T30
12.02040982,127583,299.2902763139485,0,300,2,2,False,T30
12.05953479,127575,307.2472079205969,0,301,2,2,False,T30
12.09956574,127579,301.3666860162268,0,302,2,2,False,T30
12.13947606,127756,127.9990355864764,0,303,2,2,False,T30
12.18050289,128025,-110.3688875161728,0,304,2,2,False,T30
12.2197721,128141,-252.80064760614965,0,305,2,2,False,T30
12.2605021,128260,-352.39859487248475,0,306,2,2,False,T30
12.29995084,128400,-497.3982686468062,0,307,2,2,False,T30
12.33948517,128549,-634.076552568305,0,308,2,2,False,T30
12.3805604,128737,-805.5891976037283,0,309,2,2,False,T30
12.41960716,128932,-1108.7982038782202,0,310,2,2,False,T30
12.45965743,129082,-1079.8004966131084,0,311,2,2,False,T30
12.49959683,128144,-268.0461710760734,0,312,2,2,False,T30
12.53948426,127214,630.2286848210113,0,313,2,2,False,T30
12.57953072,127092,845.7425254956875,0,314,2,2,False,T30
12.61984944,127196,681.179959915434,0,315,2,2,False,T30
12.65952063,127333,538.8058079716093,0,316,2,2,False,T30
12.70030379,127508,352.7253531735438,0,317,2,2,False,T30
12.73949265,127702,166.48568537032713,0,318,2,2,False,T30
12.78021121,127671,190.2171250670545,0,319,2,2,False,T30
12.81976509,127462,369.0268680269685,0,320,2,2,False,T30
12.85967207,127410,432.5137379699465,0,321,2,2,False,T30
12.90040398,127559,269.4045556967221,0,322,2,2,False,T30
12.93947148,127843,-28.30542905773749,0,323,2,2,False,T30
12.97961926,128132,-319.16897803822746,0,324,2,2,False,T30
13.01953197,128332,-527.8742194911813,0,325,2,2,False,T30
13.05987334,128455,-683.8994319184294,0,326,2,2,False,T30
13.09999704,128585,-781.963282364628,0,327,2,2,False,T30
13.13947558,128702,-911.1327773548804,0,328,2,2,False,T30
13.17962861,128844,-1192.486976449756,0,329,2,2,False,T30
13.21961761,128927,-1032.48933254164,0,330,2,2,False,T30
