session,window_id,state,window_size_s,representation,sampling_rate_hz,n_samples,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,fit_duration_s,max_follow_s,lle_1_per_s,fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,analysis_included,signal_finite,valid,qc_reason
5,34,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.4797627237160508,12,0.8,1.3,0.5,5.0,0.8164451440795163,0.9826778572591159,1472,1472,1408,True,True,True,ok
5,35,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.46905009234122774,12,0.8,1.3,0.5,5.0,0.7673447045595045,0.9926124362381495,1472,1472,1418,True,True,True,ok
5,36,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.4645826522093368,12,0.8,1.3,0.5,5.0,0.7174392401504119,0.9795562291833451,1472,1472,1414,True,True,True,ok
5,37,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.4659554246900769,12,0.8,1.3,0.5,5.0,0.7628833744483251,0.9873719775939274,1472,1472,1409,True,True,True,ok
5,38,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.4606374998546853,12,0.8,1.3,0.5,5.0,0.6621808610386968,0.9613082120641401,1472,1472,1418,True,True,True,ok
5,39,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.493336992069327,12,0.8,1.3,0.5,5.0,0.7125843719203189,0.987807808908853,1472,1472,1424,True,True,True,ok
5,40,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5182221979078272,13,0.8,1.3,0.5,5.0,0.7290688719809241,0.981282128479562,1472,1472,1415,True,True,True,ok
5,41,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.48607120977303797,12,0.8,1.3,0.5,5.0,0.628908500601781,0.9472416258980096,1472,1472,1381,True,True,True,ok
5,42,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.5145975998626495,13,0.8,1.3,0.5,5.0,0.6960540453847249,0.9507779895912686,1472,1472,1428,True,True,True,ok
5,43,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.4994722302792088,12,0.8,1.3,0.5,5.0,0.7019740465291269,0.9696828843172264,1472,1472,1405,True,True,True,ok
5,44,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.47409472025017274,12,0.8,1.3,0.5,5.0,0.6422697359512229,0.9919654030164973,1472,1472,1396,True,True,True,ok
5,45,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.48047342242843794,12,0.8,1.3,0.5,5.0,0.6914799086539559,0.985876795105346,1472,1472,1426,True,True,True,ok
5,47,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.45975139244841623,11,0.8,1.3,0.5,5.0,0.7262718884770492,0.97680225732169,1472,1472,1428,True,True,True,ok
5,48,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.5103807445747076,13,0.8,1.3,0.5,5.0,0.6478442087123544,0.9470048858401315,1472,1472,1433,True,True,True,ok
5,49,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5624242944266082,14,0.8,1.3,0.5,5.0,0.7045870990932313,0.962293931889729,1472,1472,1418,True,True,True,ok
5,52,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.5277695338886096,13,0.8,1.3,0.5,5.0,0.6472320770779418,0.9866211531463956,1472,1472,1431,True,True,True,ok
5,53,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.5456447919996346,14,0.8,1.3,0.5,5.0,0.7256590161667682,0.9799697257825741,1472,1472,1424,True,True,True,ok
5,54,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.503296783005383,13,0.8,1.3,0.5,5.0,0.692204392685259,0.9748155750236183,1472,1472,1421,True,True,True,ok
5,1,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.5399227806166117,13,0.8,1.3,0.5,5.0,0.7790645169268721,0.9637106616946618,2972,2972,2916,True,True,True,ok
5,2,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.49153426515476506,12,0.8,1.3,0.5,5.0,0.7953416342428582,0.9913873593059419,2972,2972,2905,True,True,True,ok
5,3,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.5258517517345357,13,0.8,1.3,0.5,5.0,0.7515489391377755,0.9856952894315,2972,2972,2932,True,True,True,ok
5,4,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.5320460390207505,13,0.8,1.3,0.5,5.0,0.8615329621464375,0.9877221501484006,2972,2972,2917,True,True,True,ok
5,5,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.49242024382582666,12,0.8,1.3,0.5,5.0,0.7666084066709071,0.971630788117461,2972,2972,2908,True,True,True,ok
5,6,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.4835551223042286,12,0.8,1.3,0.5,5.0,0.8070548251645431,0.9920541516682786,2972,2972,2906,True,True,True,ok
5,8,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.4875485800648223,12,0.8,1.3,0.5,5.0,0.8160156810090192,0.9722453315108355,2972,2972,2914,True,True,True,ok
5,9,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.49128064487707834,12,0.8,1.3,0.5,5.0,0.7763142443645221,0.9925700791391352,2972,2972,2894,True,True,True,ok
5,10,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.4834875895484816,12,0.8,1.3,0.5,5.0,0.7921113382042193,0.9781174183014772,2972,2972,2896,True,True,True,ok
5,11,Awake,120,processed,25.002500250041432,3000,8,0.16,4,0.5010689671813499,13,0.8,1.3,0.5,5.0,0.8271524108274685,0.9852233915100421,2972,2972,2900,True,True,True,ok
