session,state,representation,window_size_s,horizon_seconds,central_cc,variability_cc,median_cc,iqr_cc,central_nrmse,variability_nrmse,median_nrmse,iqr_nrmse,mean_valid_fraction,minimum_valid_fraction,n_windows
sample_5,Drowsy,Raw,180,0.8,0.9067458712158321,0.06595496519048523,0.9086214249973198,0.06195520248363895,0.39701965596550454,0.13574083065070075,0.41477145543074295,0.16559418488121458,1.0,1.0,5
sample_5,Drowsy,Raw,180,1.0,0.8899911599667071,0.07283618687804429,0.8885478155984712,0.06879604511372062,0.4318245043448101,0.13742471353174643,0.4620731312808886,0.15994759372656975,1.0,1.0,5
sample_5,Drowsy,Raw,180,1.2,0.8820034351696723,0.07772611325728189,0.8782620962847717,0.06836625661726148,0.44637095313421654,0.1401297148013877,0.48003227884855754,0.15455015730721672,1.0,1.0,5
sample_5,Drowsy,Raw,180,1.6,0.8448923769232864,0.10811888213737997,0.8442168697256472,0.09658661963140869,0.5038715364405091,0.16374351580328303,0.5346910590556426,0.19585003652175353,1.0,1.0,5
sample_5,Drowsy,Raw,180,2.0,0.8242049323132623,0.12202823687798887,0.8304532031790423,0.10434943055070744,0.5338164077691786,0.16837283991796737,0.5556964354690158,0.19563254229540905,1.0,1.0,5
sample_5,Drowsy,Raw,180,2.4,0.7801412383107792,0.1558371951295554,0.780797340165978,0.1276320302414672,0.5886320285343929,0.18379296156448888,0.6268100815371183,0.21536371189821502,1.0,1.0,5
sample_5,Drowsy,Raw,180,2.8,0.7502375550833869,0.18525391238388372,0.7607130551661025,0.13472301530289044,0.6202200609038249,0.19432268987432516,0.6535210511786607,0.21534152679594892,1.0,1.0,5
sample_5,Drowsy,Raw,180,3.2,0.7157779204247177,0.20783927929817186,0.7316472900699154,0.15465685127449424,0.6567635468266848,0.19896914371351432,0.6925124162122988,0.22675430366117455,1.0,1.0,5
sample_5,Drowsy,Raw,180,3.6,0.6807065058193628,0.24290882349076853,0.7084002410277046,0.16479891072696673,0.6876259694781592,0.20988173469336896,0.7186599439802653,0.23463296184349453,1.0,1.0,5
sample_5,Drowsy,Raw,180,4.0,0.6549164555092444,0.2635891378543063,0.6969651202811682,0.17593857786267797,0.7100581896808326,0.21242980462829497,0.7279169664081326,0.2380224764665465,1.0,1.0,5
sample_6,Awake,Raw,60,0.04,0.941473446717572,0.012839947966855501,0.9430293126788193,0.016202860994102286,0.33541581867897213,0.03568023335453995,0.3311439768861342,0.04621923204868772,1.0,1.0,32
sample_6,Awake,Raw,60,0.08,0.8620385671815195,0.025981141893340314,0.8605685155858083,0.032753017019172104,0.5047354262661529,0.04583218378736586,0.5098782730873214,0.05424986189646469,1.0,1.0,32
sample_6,Awake,Raw,60,0.12,0.8284389319166584,0.03215273583892838,0.8297621418456766,0.044584141703029045,0.5579429254473149,0.05000100103365435,0.5608377531509601,0.06659260165168956,1.0,1.0,32
sample_6,Awake,Raw,60,0.16,0.8310559585781787,0.03690144456221665,0.8392040890113219,0.053299024257237315,0.5532268630889595,0.05787628556149678,0.5452048316306368,0.08132748136065604,1.0,1.0,32
sample_6,Awake,Raw,60,0.2,0.8376326252519734,0.0438548244116187,0.8348117698825299,0.051075189267518306,0.5417723420265416,0.06854195317181978,0.5514558233753333,0.07749320905532353,1.0,1.0,32
sample_6,Awake,Raw,60,0.28,0.8159451424062818,0.0450480630338926,0.8173372746334209,0.05170343038695646,0.574628239769082,0.06368372863692656,0.578496736558182,0.07261029346915682,1.0,1.0,32
sample_6,Awake,Raw,60,0.4,0.8234113718738945,0.05017641278922581,0.8191180569398933,0.06638848896728211,0.5623019835453379,0.07454133761178203,0.5758306327587852,0.09575708877450995,1.0,1.0,32
sample_6,Awake,Raw,60,0.6,0.8023863176732808,0.05449319262137943,0.7966222970653563,0.06567451213622155,0.5918072444428316,0.07663044871100849,0.6076841014167595,0.08389620264560715,1.0,1.0,32
sample_6,Awake,Raw,60,0.8,0.7927549327245007,0.05533855809791191,0.784947443239463,0.06676888676383408,0.6053499271884649,0.07625626675132902,0.6218083337159271,0.08752750373575013,1.0,1.0,32
sample_6,Awake,Raw,60,1.0,0.6721053189854771,0.08920386661296582,0.6746629959227248,0.09595474662696701,0.7402577285485262,0.08903111146749094,0.7445396660126444,0.08987012927290372,1.0,1.0,32
sample_6,Awake,Raw,60,1.2,0.6513235446784735,0.0944861407547076,0.6435774612768319,0.10064321140939148,0.7596944415407847,0.0898015949435651,0.772588035075938,0.09553508877893502,1.0,1.0,32
sample_6,Awake,Raw,60,1.6,0.6083074538657058,0.10667785530523466,0.5943616954232112,0.12692826617707464,0.797834235995607,0.0930983865742137,0.8201838472424081,0.11261023915740254,1.0,1.0,32
sample_6,Awake,Raw,60,2.0,0.5074480233701963,0.12987585596084256,0.4902870087127731,0.16651526505181452,0.8735969584510005,0.09610182076480112,0.8900962948397534,0.11490427507461587,1.0,1.0,32
sample_6,Awake,Raw,60,2.4,0.4731247755344735,0.1456115134756026,0.45478721299250713,0.2009458027754596,0.8954637442269839,0.10116830288797327,0.9208079103333928,0.13116882578562084,1.0,1.0,32
