window_size_s,horizon_seconds,n_paired_sessions,mean_delta_cc_processed,sd_delta_cc_processed,median_delta_cc_processed,iqr_delta_cc_processed,fraction_positive_delta_cc_processed,mean_delta_cc_raw,sd_delta_cc_raw,median_delta_cc_raw,iqr_delta_cc_raw,fraction_positive_delta_cc_raw,mean_representation_difference_cc,sd_representation_difference_cc,median_representation_difference_cc,iqr_representation_difference_cc,direction_agreement_cc,mean_delta_nrmse_processed,sd_delta_nrmse_processed,median_delta_nrmse_processed,iqr_delta_nrmse_processed,fraction_positive_delta_nrmse_processed,mean_delta_nrmse_raw,sd_delta_nrmse_raw,median_delta_nrmse_raw,iqr_delta_nrmse_raw,fraction_positive_delta_nrmse_raw,mean_representation_difference_nrmse,sd_representation_difference_nrmse,median_representation_difference_nrmse,iqr_representation_difference_nrmse,direction_agreement_nrmse
60,1.2,20,-0.024327603845438105,0.04245903757109006,-0.029509615470175055,0.05296045278658748,0.25,0.0054604335668018925,0.05223881288070693,0.009698861488227128,0.08150806475278297,0.55,0.02978803741224,0.039313438308274676,0.02369690973196542,0.06211941816370048,0.7,0.026814010227023503,0.04517163384310793,0.03111481811049499,0.052379557704390095,0.75,-0.004947385845017399,0.05434218791986483,-0.019194321805018955,0.07534293105685863,0.45,-0.031761396072040905,0.03808789950518188,-0.036036284037997635,0.05733807265141738,0.7
60,1.6,20,-0.03879424708078057,0.05906517007284673,-0.04783710015456666,0.0817937357067933,0.25,-0.002461654943656172,0.06611752923274244,-0.005232638304251247,0.09312726398376392,0.5,0.0363325921371244,0.052612957763888024,0.028611169677646264,0.08205353212754543,0.65,0.03216931731366143,0.04889969938024744,0.037033959786705484,0.05766092733549205,0.8,0.0020105415454417354,0.05921024510411289,-0.0044150082052911155,0.0749831360434487,0.5,-0.0301587757682197,0.04158736182322197,-0.028231165259110846,0.06044906583873158,0.6
60,2.0,20,-0.04651361099077399,0.06943781520906377,-0.05224602823249036,0.08639434749768152,0.2,0.003675460031143421,0.07365398361596513,0.003984103976938158,0.09868876092203294,0.6,0.05018907102191741,0.05260669436035206,0.04164631407493016,0.07504230458273982,0.6,0.03212127853567211,0.0484667937533738,0.03318172244174139,0.05613647285706094,0.85,-0.0020368729443678234,0.059549167687643394,-0.012064698518001904,0.07602934284696314,0.4,-0.03415815148003993,0.0374385633283462,-0.0362031579280227,0.04259001368324705,0.55
60,2.4,20,-0.054084899779532014,0.0814104393245805,-0.05499820846195322,0.10455133407668597,0.2,-0.0028846759527701104,0.08413724228992334,-0.004905816351147951,0.09426565670987395,0.45,0.051200223826761905,0.061199151601218284,0.03504639874061752,0.08078724471509112,0.55,0.03208349078989931,0.049313078344367996,0.03490264147118394,0.05739156135476178,0.85,0.0026955952345066037,0.06103001850363572,-0.0027748947662906143,0.07850277447515819,0.45,-0.029387895555392708,0.03808768457200543,-0.031943740162082734,0.04221004177256904,0.6
60,2.8,20,-0.054993690356523774,0.0859805821472618,-0.05211401847526961,0.10911996877259764,0.2,0.0025231359990003253,0.08398805781023515,0.00238428450799838,0.09099264144450832,0.5,0.05751682635552411,0.06073972889786977,0.050430544357914414,0.07156265021186398,0.6,0.029047752397823645,0.046331185209501045,0.03247930564192647,0.05487767187522888,0.75,-0.0003870774300210822,0.05737431720549762,-0.006729814122444,0.06463037739050442,0.45,-0.029434829827844726,0.035722772370252495,-0.03633932710764659,0.04796930439799005,0.5
60,3.2,20,-0.05203120660297887,0.08553511110178583,-0.0395995372827771,0.10030800116163974,0.2,-0.0010297529043369364,0.09036043940479445,0.0005901744316313406,0.0972820340685852,0.5,0.05100145369864193,0.06362988785080609,0.049375450893649114,0.06561497240643652,0.6,0.025491451818382714,0.041862431246391475,0.029106095774754315,0.04450272970949809,0.8,0.0012403158879903341,0.05777764807277129,-0.00019592237078813746,0.06897112855926232,0.5,-0.02425113593039238,0.036675750996298724,-0.027293329763500684,0.041395866055889075,0.5
60,3.6,20,-0.04605642116960593,0.07904675552866315,-0.03176695813354197,0.08111058721442102,0.2,0.005759745638482886,0.08580109549055291,0.0045613881616339,0.07432244995241089,0.5,0.0518161668080888,0.055176338411359376,0.047344297123612364,0.04612083020529076,0.6,0.020965201292078645,0.03580398869153844,0.023200336275631894,0.03177096630634818,0.8,-0.0024456862820266987,0.05407645188208458,-0.00045216113172957817,0.04224481131229668,0.5,-0.023410887574105345,0.03324420355810698,-0.025017358173765547,0.0361648322724237,0.5
60,4.0,20,-0.042139829340174295,0.07443155093194839,-0.037483592904935345,0.07333539250007792,0.2,0.0065404925449854216,0.08855390400876142,-0.0011245154398654977,0.07813234595500834,0.45,0.04868032188515971,0.057569526597426056,0.049906205786485386,0.06457341066230969,0.65,0.0183390691495915,0.032257900480490306,0.020013267698203496,0.03254650775449863,0.85,-0.002887021795683592,0.05282581669021038,-4.352415835956469e-05,0.04796383737795473,0.5,-0.02122609094527509,0.03324719702920607,-0.020796652516917535,0.038341917483144305,0.55
120,0.04,20,-0.005598305341147575,0.006440870383882486,-0.005311170733400927,0.008095890436395192,0.15,0.002062275279327103,0.00961324711967799,0.0006711600529732964,0.01116200251286098,0.6,0.007660580620474677,0.009694489721403248,0.007702293897055845,0.011551857621029643,0.55,0.02190063237789934,0.024814364764998754,0.020725947504148093,0.03225708672931999,0.8,-0.007068602139171884,0.032034339722929864,-0.00419578128914011,0.03400795316980196,0.4,-0.028969234517071223,0.032574146143154716,-0.026480114688626488,0.0343686693312202,0.6
120,0.08,20,-0.009851533883237267,0.011916707233469936,-0.009248938270570883,0.014337643039399328,0.2,0.006159559828265537,0.021617833998628027,0.003365896062553664,0.02268933222866415,0.65,0.016011093711502805,0.019618649807305016,0.013704793267356186,0.01836649704614976,0.55,0.027007343115442263,0.0321965998761,0.025473783651831616,0.04040622282407384,0.8,-0.014701055445179767,0.04853450055518073,-0.007134020958036474,0.04374935302129028,0.35,-0.04170839856062203,0.043569934484685977,-0.045318206013346546,0.041609185553674544,0.55
120,0.12,20,-0.009359793113997544,0.011483299954213093,-0.01117314442011852,0.012968005971533275,0.2,0.006677741423371281,0.025963702481078633,0.005143667493363757,0.0240859990320261,0.55,0.016037534537368826,0.02197707404157696,0.016012694756834644,0.022651445331806352,0.65,0.025963943360737467,0.030285092952453168,0.028126934520884772,0.03547645620781173,0.8,-0.014286633564192403,0.05104191760245649,-0.00866258709396861,0.042483705785881926,0.4,-0.04025057692492988,0.04170723535651369,-0.04240803341352298,0.04079872832195857,0.6
120,0.16,20,-0.008981781798896898,0.012400851047686536,-0.011735150557718954,0.013343533991489215,0.2,0.008710830705441486,0.024435868094071812,0.009086298900405743,0.0296275103282507,0.55,0.017692612504338383,0.02073205295337542,0.015764245549389155,0.02977959560375018,0.55,0.02372967153399913,0.03145741091135302,0.0308459582578767,0.0366821184111034,0.8,-0.01707214663670894,0.04686222414541972,-0.013316712382865775,0.04936247924836422,0.4,-0.04080181817070807,0.039586534328223795,-0.03276710457139331,0.05678693405919015,0.6
120,0.2,20,-0.00959641784575988,0.013592254992670232,-0.011754190103543893,0.014315727679344026,0.2,0.009519794404604204,0.026787862273285487,0.007569662080784301,0.039924807139920304,0.5,0.019116212250364084,0.025315482381983657,0.018538510765287952,0.043596721101599956,0.6,0.02417719649430622,0.03329681879294479,0.028663730712829044,0.03788288542922706,0.8,-0.017889074373051147,0.050812398387993576,-0.017182587809563304,0.073899709595849,0.45,-0.04206627086735737,0.0492980827156297,-0.044371329398513695,0.0879476100546216,0.55
120,0.28,20,-0.010067223081733329,0.01475029581205965,-0.012511133377122452,0.014995098095546916,0.25,0.009056803605855469,0.030688285411641935,0.003392163443576124,0.041465858500198294,0.5,0.019124026687588797,0.025474691888685223,0.019304312257544864,0.03220674620561245,0.75,0.024413206928285473,0.03390500927958344,0.028568324632433528,0.034305646070759185,0.75,-0.01625812871575773,0.05652174993476093,-0.008862799559112067,0.07193385705951251,0.45,-0.040671335644043204,0.046343447677494265,-0.04506634897179773,0.047141290733474936,0.7
120,0.4,20,-0.01171182607363,0.018299840503740915,-0.013363455275221314,0.013844835351707191,0.25,0.012296658266918687,0.030387306024117725,0.012561719676434657,0.046906589614945315,0.55,0.024008484340548687,0.029593320303579924,0.0207340125039861,0.058185724514223186,0.6,0.024890917097662793,0.036795915669899086,0.029137779066914088,0.03633106074441515,0.75,-0.02062381510822108,0.0531131752011906,-0.02242933057304211,0.08355302603171122,0.45,-0.045514732205883875,0.052336048271401175,-0.03423830492939722,0.08579771170577592,0.6
