session,representation,state,window_size,window_id,N,sampling_rate,tau_samples,rho_star,median_NN_distance,rho_NN,attractor_diameter,rho_D,peak_C2,peak_C2_sd,boundary_flag
23,Processed,Awake,60,53,1500,24.997500250004045,4,88.40539154424945,185.00448686311427,0.4778553917433421,3404.832522305003,0.02596468136541435,338.3333333333333,21.82506204649447,False
23,Processed,Awake,60,54,1500,24.997500250004045,4,112.315013660346,187.89409367200062,0.5977570208056137,3912.757906437759,0.028704820575674073,319.0,9.539392014169456,False
23,Processed,Awake,60,55,1500,24.997500250004045,4,88.40539154424945,172.03807682356793,0.513871075383578,3937.4047786359915,0.022452705910230325,335.6666666666667,15.69500982265807,False
23,Processed,Awake,60,56,1500,24.997500250004045,4,88.40539154424945,179.7519859492735,0.4918187194282109,3708.222853770918,0.023840366404718472,335.0,12.0,False
23,Processed,Awake,60,57,1500,24.997500250004045,4,88.40539154424945,172.49645345366247,0.5125055603998125,3317.9246687817836,0.026644785632432267,334.6666666666667,2.0816659994661326,False
23,Processed,Awake,60,58,1500,24.997500250004045,4,69.5856502117081,123.48912774189469,0.5634961675099808,3378.8875249441717,0.020594248757320754,337.6666666666667,10.115993936995679,False
23,Processed,Awake,60,59,1500,24.997500250004045,4,69.5856502117081,136.33600926933653,0.5103981742214504,3184.5878361408495,0.021850755511279428,348.0,11.789826122551595,False
23,Processed,Awake,60,60,1500,24.997500250004045,4,88.40539154424945,184.3440455799359,0.4795673831836071,3246.268967405886,0.027232922604960474,321.0,8.717797887081348,False
23,Processed,Awake,120,1,3000,24.997500250004045,4,54.77225575051662,122.85008415934331,0.44584630222535293,3186.6583332928585,0.017187991313119218,621.0,12.165525060596439,False
23,Processed,Awake,120,2,3000,24.997500250004045,4,69.5856502117081,139.41551513418761,0.4991241480170397,3642.2003128405167,0.01910538801679442,632.3333333333334,13.012814197295423,False
23,Processed,Awake,120,3,3000,24.997500250004045,4,88.40539154424945,175.32136702991968,0.5042476740964638,4106.662609031508,0.021527308172291877,651.0,11.357816691600547,False
23,Processed,Awake,120,4,3000,24.997500250004045,4,88.40539154424945,163.2726931137688,0.5414585247433161,4176.354806191536,0.021168074947364758,628.3333333333334,17.8978583448784,False
23,Processed,Awake,120,5,3000,24.997500250004045,4,112.315013660346,211.41535076509382,0.5312528785345421,4516.542134957845,0.024867478328394758,625.0,9.539392014169456,False
23,Processed,Awake,120,7,3000,24.997500250004045,4,88.40539154424945,196.35040726804687,0.4502429751702182,4342.887474379085,0.02035636245834093,643.0,27.51363298439521,False
23,Processed,Awake,120,8,3000,24.997500250004045,4,69.5856502117081,171.375511037318,0.4060419705856073,4394.072833486563,0.0158362532549316,634.3333333333334,12.220201853215574,False
