session,state,duration_s,n_windows,metric,value
15,Awake,60,28,LLE,0.7904421506962169
15,Drowsy,60,6,LLE,0.7864602959518863
17,Awake,60,28,LLE,0.8494964506349506
17,Drowsy,60,14,LLE,0.8192815444903421
18,Awake,60,18,LLE,0.7094166847443069
18,Drowsy,60,20,LLE,0.7559050314396178
19,Awake,60,33,LLE,0.8136185800827452
19,Drowsy,60,10,LLE,0.7790534640443186
21,Awake,60,24,LLE,0.7233579537881958
21,Drowsy,60,13,LLE,0.6689893837927872
22,Awake,60,29,LLE,0.7504517549863553
22,Drowsy,60,12,LLE,0.7213318356713982
23,Awake,60,49,LLE,0.8562690574170972
23,Drowsy,60,13,LLE,0.814895336130383
25,Awake,60,27,LLE,0.8753285532282131
25,Drowsy,60,14,LLE,0.8104998271738018
1,Awake,120,11,LLE,0.9769404470775888
1,Drowsy,120,1,LLE,0.8865572444971673
4,Awake,120,13,LLE,0.8359409794691308
4,Drowsy,120,7,LLE,0.795048649645683
5,Awake,120,14,LLE,0.7933285624530071
5,Drowsy,120,8,LLE,0.6997967002475929
6,Awake,120,14,LLE,0.8569064575022243
6,Drowsy,120,7,LLE,0.8450022455629663
7,Awake,120,17,LLE,0.9152161007632498
7,Drowsy,120,5,LLE,0.8928163770126064
8,Awake,120,17,LLE,0.9008096275401364
8,Drowsy,120,5,LLE,0.8348151746487533
9,Awake,120,18,LLE,0.7968954084062181
9,Drowsy,120,10,LLE,0.7760709208400753
10,Awake,120,12,LLE,0.9196125444838339
10,Drowsy,120,4,LLE,0.8675336559697198
11,Awake,120,9,LLE,0.881616181040685
11,Drowsy,120,8,LLE,0.8340806913128905
12,Awake,120,8,LLE,0.7657247837939549
12,Drowsy,120,16,LLE,0.8122342185671041
13,Awake,120,11,LLE,0.8458901039669148
13,Drowsy,120,12,LLE,0.8457729061566157
14,Awake,120,13,LLE,0.8109921107654257
14,Drowsy,120,7,LLE,0.721413404408872
15,Awake,120,12,LLE,0.8267979881125382
15,Drowsy,120,3,LLE,0.8135360198797702
17,Awake,120,14,LLE,0.8838637177985296
17,Drowsy,120,5,LLE,0.8607571010047175
18,Awake,120,8,LLE,0.7403821489488904
18,Drowsy,120,9,LLE,0.8314792593545535
19,Awake,120,15,LLE,0.8420505107919187
19,Drowsy,120,4,LLE,0.8049056662356782
21,Awake,120,11,LLE,0.7665037545718868
21,Drowsy,120,7,LLE,0.6801811875693503
22,Awake,120,13,LLE,0.7968323669093442
22,Drowsy,120,6,LLE,0.7446300628818431
23,Awake,120,22,LLE,0.8771924251689436
23,Drowsy,120,4,LLE,0.8252659392829577
25,Awake,120,12,LLE,0.9072913834452421
25,Drowsy,120,7,LLE,0.8061399458489273
1,Awake,180,6,LLE,1.0023481304664883
1,Drowsy,180,1,LLE,0.9529625256358444
4,Awake,180,8,LLE,0.8582258720034546
4,Drowsy,180,5,LLE,0.783250030703281
5,Awake,180,9,LLE,0.8292270718734696
5,Drowsy,180,3,LLE,0.7179691178301335
6,Awake,180,8,LLE,0.8833804778804246
6,Drowsy,180,5,LLE,0.8310357261870325
7,Awake,180,11,LLE,0.8968692010464254
7,Drowsy,180,1,LLE,0.9358585816542112
8,Awake,180,9,LLE,0.9067144474475806
8,Drowsy,180,3,LLE,0.8419545747837551
9,Awake,180,11,LLE,0.8226810407371715
9,Drowsy,180,6,LLE,0.7621877188226973
10,Awake,180,7,LLE,0.9494682769231326
10,Drowsy,180,2,LLE,0.8991544615355624
11,Awake,180,5,LLE,0.9185620314004868
11,Drowsy,180,6,LLE,0.8624076458932002
12,Awake,180,5,LLE,0.811936711953884
12,Drowsy,180,10,LLE,0.8286015246668043
13,Awake,180,7,LLE,0.858549644474749
13,Drowsy,180,6,LLE,0.8804361292183126
14,Awake,180,8,LLE,0.8072589883293313
14,Drowsy,180,4,LLE,0.7509587882694901
15,Awake,180,7,LLE,0.8292867816570391
15,Drowsy,180,1,LLE,0.8232743465395927
17,Awake,180,9,LLE,0.8972652568987153
17,Drowsy,180,4,LLE,0.8548764593959692
18,Awake,180,5,LLE,0.7490633192309588
18,Drowsy,180,6,LLE,0.7685628124730017
19,Awake,180,9,LLE,0.8820318022534263
19,Drowsy,180,2,LLE,0.7813240987634624
21,Awake,180,7,LLE,0.732037566596335
21,Drowsy,180,4,LLE,0.7004813715614033
22,Awake,180,8,LLE,0.7928449705775528
22,Drowsy,180,3,LLE,0.7817659992475559
23,Awake,180,15,LLE,0.8866416940120309
23,Drowsy,180,1,LLE,0.8383374871933051
25,Awake,180,6,LLE,0.9262252989181655
25,Drowsy,180,4,LLE,0.8052769964860191
1,Awake,30,48,Mean_CC,0.6888185262413986
1,Drowsy,30,14,Mean_CC,0.7150603348873674
4,Awake,30,58,Mean_CC,0.62808301763098
