session,duration_s,metric,awake,drowsy,delta_drowsy_minus_awake,n_windows_awake,n_windows_drowsy,source_domain,expected_sign,in_expected_direction
8,180,Mean_CC,0.7343067286562827,0.6861456985448996,-0.04816103011138306,9,3,Prediction,-1,True
10,180,Mean_CC,0.765532353382835,0.6711139057548391,-0.0944184476279959,7,2,Prediction,-1,True
11,180,Mean_CC,0.7031454429098455,0.6818398114856667,-0.02130563142417874,5,6,Prediction,-1,True
12,180,Mean_CC,0.7200906923830727,0.6787629468713495,-0.041327745511723135,5,10,Prediction,-1,True
14,180,Mean_CC,0.6772196637096596,0.6312526025751586,-0.045967061134501,9,4,Prediction,-1,True
15,180,Mean_CC,0.6921641748838869,0.6210291231679055,-0.07113505171598145,7,1,Prediction,-1,True
17,180,Mean_CC,0.6860345751828486,0.7347709096281636,0.048736334445315,9,4,Prediction,-1,False
18,180,Mean_CC,0.7252896002278204,0.6701683211826307,-0.05512127904518971,5,6,Prediction,-1,True
19,180,Mean_CC,0.7525085626664626,0.6879468998101355,-0.06456166285632714,9,2,Prediction,-1,True
21,180,Mean_CC,0.6194495043638656,0.6254790012157564,0.006029496851890803,7,4,Prediction,-1,False
22,180,Mean_CC,0.7365509880406172,0.6894085872163593,-0.04714240082425791,8,3,Prediction,-1,True
23,180,Mean_CC,0.660208002498564,0.654851316192653,-0.005356686305911018,15,1,Prediction,-1,True
25,180,Mean_CC,0.7273552915690625,0.6831482680207667,-0.044207023548295865,6,4,Prediction,-1,True
1,60,Mean_NRMSE,0.5869624912226548,0.5828411291316169,-0.004121362091037861,24,7,Prediction,1,False
4,60,Mean_NRMSE,0.6897510372729564,0.6695737957268743,-0.020177241546082136,29,17,Prediction,1,False
5,60,Mean_NRMSE,0.6760308109864472,0.7057123193528857,0.029681508366438458,33,16,Prediction,1,True
6,60,Mean_NRMSE,0.6378294225863771,0.6669952400625656,0.029165817476188516,31,17,Prediction,1,True
7,60,Mean_NRMSE,0.6310717421575701,0.6882946488690981,0.057222906711527965,34,11,Prediction,1,True
8,60,Mean_NRMSE,0.6123646339395816,0.6549590712218997,0.04259443728231804,36,10,Prediction,1,True
10,60,Mean_NRMSE,0.591607143150853,0.6404262962050152,0.04881915305416218,27,9,Prediction,1,True
11,60,Mean_NRMSE,0.6404791012823232,0.6695963634030622,0.02911726212073895,20,18,Prediction,1,True
12,60,Mean_NRMSE,0.595360993896853,0.6324608592304831,0.03709986533363008,20,35,Prediction,1,True
14,60,Mean_NRMSE,0.6525578110304431,0.712341138917536,0.05978332788709295,31,17,Prediction,1,True
15,60,Mean_NRMSE,0.6523256205260942,0.6644696041180012,0.012143983591906937,28,6,Prediction,1,True
17,60,Mean_NRMSE,0.6735027958582495,0.5821621130161525,-0.09134068284209695,28,14,Prediction,1,False
18,60,Mean_NRMSE,0.6028285093532119,0.6643274028990978,0.06149889354588589,19,21,Prediction,1,True
19,60,Mean_NRMSE,0.5706599558491487,0.6306689497222546,0.060008993873105876,34,10,Prediction,1,True
21,60,Mean_NRMSE,0.7005008034797497,0.6978128399213323,-0.0026879635584174943,25,15,Prediction,1,False
22,60,Mean_NRMSE,0.6046340713684941,0.6907875120702804,0.08615344070178632,29,13,Prediction,1,True
23,60,Mean_NRMSE,0.6897133221406468,0.6943603275645931,0.004647005423946249,49,13,Prediction,1,True
25,60,Mean_NRMSE,0.5890536361793575,0.6541436439211925,0.06509000774183504,27,15,Prediction,1,True
1,120,Mean_NRMSE,0.579120559292176,0.5455213957390493,-0.03359916355312664,11,1,Prediction,1,False
4,120,Mean_NRMSE,0.6810342823660244,0.6523286919484128,-0.02870559041761156,13,7,Prediction,1,False
