session,window_size_s,label,representation,n_windows,n_tau_found,median_tau_seconds,iqr_tau_seconds,tau_found_rate
sample_18.csv,180,Awake,Processed,5,5,0.1200119999998605,0.04000399999995351,100.0
sample_18.csv,180,Awake,Raw,5,5,0.2000199999997676,0.0,100.0
sample_18.csv,180,Drowsy,Processed,6,6,0.1200119999998605,0.0,100.0
sample_18.csv,180,Drowsy,Raw,7,7,0.2000199999997676,0.02000199999997676,100.0
sample_19.csv,60,Awake,Processed,34,34,0.1200181500003054,0.04000605000010189,100.0
sample_19.csv,60,Awake,Raw,34,34,0.1600242000004073,0.04000605000010182,100.0
sample_19.csv,60,Drowsy,Processed,10,10,0.1200181500003054,0.0,100.0
sample_19.csv,60,Drowsy,Raw,11,11,0.2800423500007127,0.1800272250004582,100.0
sample_19.csv,120,Awake,Processed,15,15,0.1200181500003054,0.0,100.0
sample_19.csv,120,Awake,Raw,15,15,0.1600242000004073,0.04000605000010182,100.0
sample_19.csv,120,Drowsy,Processed,4,4,0.1200181500003054,0.0,100.0
sample_19.csv,120,Drowsy,Raw,4,4,0.2400363000006109,0.11001663750027996,100.0
sample_19.csv,180,Awake,Processed,9,9,0.1200181500003054,0.04000605000010189,100.0
sample_19.csv,180,Awake,Raw,9,9,0.1600242000004073,0.04000605000010182,100.0
sample_19.csv,180,Drowsy,Processed,2,2,0.1200181500003054,0.0,100.0
sample_19.csv,180,Drowsy,Raw,2,2,0.3200484000008146,0.08001210000020365,100.0
sample_21.csv,60,Awake,Processed,25,25,0.1199999999998908,0.03999999999996359,100.0
sample_21.csv,60,Awake,Raw,23,23,0.1999999999998181,0.059999999999945514,100.0
sample_21.csv,60,Drowsy,Processed,15,15,0.1199999999998908,0.0,100.0
sample_21.csv,60,Drowsy,Raw,14,14,0.1999999999998181,0.03999999999996359,100.0
sample_21.csv,120,Awake,Processed,12,12,0.1199999999998908,0.0,100.0
sample_21.csv,120,Awake,Raw,11,11,0.1999999999998181,0.0,100.0
sample_21.csv,120,Drowsy,Processed,7,7,0.1199999999998908,0.0,100.0
sample_21.csv,120,Drowsy,Raw,8,8,0.2199999999997999,0.1999999999998181,100.0
sample_21.csv,180,Awake,Processed,7,7,0.1199999999998908,0.01999999999998181,100.0
sample_21.csv,180,Awake,Raw,6,6,0.1999999999998181,0.02999999999997277,100.0
sample_21.csv,180,Drowsy,Processed,4,4,0.1199999999998908,0.0,100.0
sample_21.csv,180,Drowsy,Raw,4,4,0.1999999999998181,0.029999999999972743,100.0
sample_22.csv,60,Awake,Processed,29,29,0.1599959999998645,0.0399989999999661,100.0
sample_22.csv,60,Awake,Raw,29,29,0.1599959999998645,0.0,100.0
sample_22.csv,60,Drowsy,Processed,13,13,0.1199969999998984,0.0399989999999661,100.0
sample_22.csv,60,Drowsy,Raw,13,13,0.1599959999998645,0.0399989999999662,100.0
sample_22.csv,120,Awake,Processed,13,13,0.1199969999998984,0.0399989999999661,100.0
sample_22.csv,120,Awake,Raw,13,13,0.1599959999998645,0.0399989999999662,100.0
sample_22.csv,120,Drowsy,Processed,6,6,0.1199969999998984,0.0,100.0
sample_22.csv,120,Drowsy,Raw,6,6,0.1999949999998307,0.1499962499998731,100.0
sample_22.csv,180,Awake,Processed,8,8,0.13999649999988145,0.0399989999999661,100.0
sample_22.csv,180,Awake,Raw,8,8,0.1599959999998645,0.07999799999993235,100.0
sample_22.csv,180,Drowsy,Processed,3,3,0.1199969999998984,0.0,100.0
sample_22.csv,180,Drowsy,Raw,3,3,0.1599959999998645,0.0199994999999831,100.0
sample_23.csv,60,Awake,Processed,49,49,0.2000199999997676,0.12001199999986051,100.0
sample_23.csv,60,Awake,Raw,41,41,0.2800279999996746,0.32003199999962817,100.0
sample_23.csv,60,Drowsy,Processed,13,13,0.160015999999814,0.08000799999990711,100.0
sample_23.csv,60,Drowsy,Raw,10,10,0.3200319999996281,0.10000999999988386,100.0
sample_23.csv,120,Awake,Processed,22,22,0.3200319999996281,0.04000399999995358,100.0
sample_23.csv,120,Awake,Raw,15,15,0.3200319999996281,0.26002599999969794,100.0
sample_23.csv,120,Drowsy,Processed,4,4,0.1800179999997908,0.07000699999991875,100.0
sample_23.csv,120,Drowsy,Raw,4,4,0.32003199999962817,0.25002499999970945,100.0
sample_23.csv,180,Awake,Processed,15,15,0.3600359999995817,0.04000399999995358,100.0
sample_23.csv,180,Awake,Raw,9,9,0.5200519999993958,0.0800079999999071,100.0
sample_23.csv,180,Drowsy,Processed,1,1,0.160015999999814,0.0,100.0
sample_23.csv,180,Drowsy,Raw,1,1,0.3200319999996281,0.0,100.0
sample_25.csv,60,Awake,Processed,27,27,0.1600260000000162,0.04000650000000411,100.0
sample_25.csv,60,Awake,Raw,27,27,0.1600260000000162,0.040006500000004,100.0
sample_25.csv,60,Drowsy,Processed,15,15,0.1200195000000121,0.0,100.0
sample_25.csv,60,Drowsy,Raw,15,15,0.2000325000000202,0.040006500000004,100.0
sample_25.csv,120,Awake,Processed,12,12,0.1200195000000121,0.04000650000000411,100.0
sample_25.csv,120,Awake,Raw,12,12,0.1600260000000162,0.010001625000001013,100.0
sample_25.csv,120,Drowsy,Processed,7,7,0.1200195000000121,0.0,100.0
sample_25.csv,120,Drowsy,Raw,7,7,0.2000325000000202,0.0,100.0
sample_25.csv,180,Awake,Processed,6,6,0.1200195000000121,0.0,100.0
sample_25.csv,180,Awake,Raw,6,6,0.1600260000000162,0.0,100.0
sample_25.csv,180,Drowsy,Processed,4,4,0.1200195000000121,0.0,100.0
sample_25.csv,180,Drowsy,Raw,4,4,0.2000325000000202,0.010001625000001013,100.0
sample_4.csv,60,Awake,Processed,29,29,0.1600520000010874,0.20006500000135932,100.0
sample_4.csv,60,Awake,Raw,29,29,0.2000650000013593,0.1600520000010874,100.0
sample_4.csv,60,Drowsy,Processed,17,17,0.1200390000008155,0.040013000000271914,100.0
sample_4.csv,60,Drowsy,Raw,17,17,0.1600520000010874,0.1200390000008156,100.0
sample_4.csv,120,Awake,Processed,13,13,0.2000650000013593,0.1600520000010874,100.0
sample_4.csv,120,Awake,Raw,13,13,0.2000650000013593,0.280091000001903,100.0
sample_4.csv,120,Drowsy,Processed,7,7,0.1200390000008155,0.020006500000135957,100.0
sample_4.csv,120,Drowsy,Raw,7,7,0.1600520000010874,0.08002600000054375,100.0
sample_4.csv,180,Awake,Processed,8,8,0.18005850000122336,0.07002275000047578,100.0
sample_4.csv,180,Awake,Raw,8,8,0.2000650000013593,0.04001300000027186,100.0
sample_4.csv,180,Drowsy,Processed,5,5,0.1200390000008155,0.040013000000271914,100.0
sample_4.csv,180,Drowsy,Raw,5,5,0.1600520000010874,0.04001300000027189,100.0
sample_5.csv,60,Awake,Processed,33,33,0.2399759999998423,0.1599839999998949,100.0
sample_5.csv,60,Awake,Raw,24,24,0.3199679999997897,0.23997599999984232,100.0
sample_5.csv,60,Drowsy,Processed,16,16,0.279971999999816,0.13998599999990805,100.0
sample_5.csv,60,Drowsy,Raw,8,8,0.3199679999997897,0.1999799999998686,100.0
sample_5.csv,120,Awake,Processed,14,14,0.279971999999816,0.14998499999990147,100.0
sample_5.csv,120,Awake,Raw,11,11,0.4399559999997109,0.2199779999998554,100.0
sample_5.csv,120,Drowsy,Processed,8,8,0.279971999999816,0.19997999999986862,100.0
sample_5.csv,120,Drowsy,Raw,2,2,0.2999699999998029,0.0999899999999343,100.0
sample_5.csv,180,Awake,Processed,9,9,0.1999799999998686,0.1599839999998949,100.0
sample_5.csv,180,Awake,Raw,8,8,0.45995399999969777,0.279971999999816,100.0
sample_5.csv,180,Drowsy,Processed,3,3,0.279971999999816,0.07999199999994744,100.0
sample_5.csv,180,Drowsy,Raw,2,2,0.41995799999972405,0.01999799999998686,100.0
sample_6.csv,60,Awake,Processed,31,31,0.160043999999516,0.10002749999969748,100.0
sample_6.csv,60,Awake,Raw,31,31,0.200054999999395,0.020005499999939502,100.0
sample_6.csv,60,Drowsy,Processed,17,17,0.160043999999516,0.040010999999879004,100.0
sample_6.csv,60,Drowsy,Raw,17,17,0.200054999999395,0.0,100.0
sample_6.csv,120,Awake,Processed,14,14,0.160043999999516,0.13003574999960674,100.0
sample_6.csv,120,Awake,Raw,14,14,0.200054999999395,0.08002199999975798,100.0
sample_6.csv,120,Drowsy,Processed,7,7,0.160043999999516,0.12003299999963699,100.0
sample_6.csv,120,Drowsy,Raw,7,7,0.200054999999395,0.10002749999969748,100.0
sample_6.csv,180,Awake,Processed,8,8,0.200054999999395,0.13003574999960674,100.0
sample_6.csv,180,Awake,Raw,9,9,0.200054999999395,0.08002199999975798,100.0
sample_6.csv,180,Drowsy,Processed,5,5,0.320087999999032,0.12003299999963699,100.0
sample_6.csv,180,Drowsy,Raw,3,3,0.280076999999153,0.12003299999963701,100.0
sample_7.csv,60,Awake,Processed,34,34,0.1200299999998151,0.040009999999938387,100.0
sample_7.csv,60,Awake,Raw,36,36,0.1600399999997535,0.0,100.0
sample_7.csv,60,Drowsy,Processed,11,11,0.1200299999998151,0.0,100.0
sample_7.csv,60,Drowsy,Raw,9,9,0.1600399999997535,0.0,100.0
sample_7.csv,120,Awake,Processed,17,17,0.1200299999998151,0.040009999999938387,100.0
sample_7.csv,120,Awake,Raw,17,17,0.1600399999997535,0.0,100.0
sample_7.csv,120,Drowsy,Processed,5,5,0.1200299999998151,0.0,100.0
sample_7.csv,120,Drowsy,Raw,3,3,0.2000499999996918,0.14003499999978433,100.0
sample_7.csv,180,Awake,Processed,11,11,0.1200299999998151,0.0,100.0
sample_7.csv,180,Awake,Raw,10,10,0.1600399999997535,0.0,100.0
sample_7.csv,180,Drowsy,Processed,1,1,0.1200299999998151,0.0,100.0
sample_7.csv,180,Drowsy,Raw,2,2,0.18004499999972265,0.02000499999996913,100.0
sample_8.csv,60,Awake,Processed,36,36,0.1600400000006629,0.0400100000001658,100.0
sample_8.csv,60,Awake,Raw,37,37,0.2000500000008287,0.08002000000033152,100.0
sample_8.csv,60,Drowsy,Processed,10,10,0.1200300000004972,0.07001750000029004,100.0
sample_8.csv,60,Drowsy,Raw,10,10,0.2000500000008287,0.0,100.0
sample_8.csv,120,Awake,Processed,17,17,0.1600400000006629,0.0400100000001658,100.0
sample_8.csv,120,Awake,Raw,17,17,0.2000500000008287,0.08002000000033152,100.0
sample_8.csv,120,Drowsy,Processed,5,5,0.1600400000006629,0.0,100.0
sample_8.csv,120,Drowsy,Raw,5,5,0.2000500000008287,0.0,100.0
sample_8.csv,180,Awake,Processed,9,9,0.1600400000006629,0.0400100000001658,100.0
sample_8.csv,180,Awake,Raw,9,9,0.2000500000008287,0.0,100.0
sample_8.csv,180,Drowsy,Processed,3,3,0.1600400000006629,0.08002000000033152,100.0
sample_8.csv,180,Drowsy,Raw,3,3,0.2000500000008287,0.06001500000024859,100.0
sample_9.csv,60,Awake,Processed,47,47,0.3199920000006386,0.1599960000003193,100.0
sample_9.csv,60,Awake,Raw,35,35,0.3199920000006386,0.0599985000001198,100.0
sample_9.csv,60,Drowsy,Processed,18,18,0.1599960000003193,0.12999675000025945,100.0
sample_9.csv,60,Drowsy,Raw,15,15,0.3199920000006386,0.09999750000019955,100.0
sample_9.csv,120,Awake,Processed,19,19,0.3199920000006386,0.05999850000011975,100.0
sample_9.csv,120,Awake,Raw,16,16,0.3599910000007185,0.03999900000007989,100.0
sample_9.csv,120,Drowsy,Processed,10,10,0.1599960000003193,0.18999525000037915,100.0
sample_9.csv,120,Drowsy,Raw,8,8,0.3199920000006386,0.06999825000013976,100.0
sample_9.csv,180,Awake,Processed,11,11,0.3199920000006386,0.0,100.0
sample_9.csv,180,Awake,Raw,9,9,0.3599910000007185,0.03999900000007989,100.0
sample_9.csv,180,Drowsy,Processed,6,6,0.1599960000003193,0.1499962500002993,100.0
sample_9.csv,180,Drowsy,Raw,5,5,0.3199920000006386,0.07999800000015961,100.0
