session,window_id,state,vector_index,x_t,x_t_plus_tau,x_t_plus_2tau
sample_1,7,Awake,223,61.57546405531849,-17.016980576387724,-116.38310139582278
sample_1,7,Awake,224,62.14248948552372,-32.34566540409217,-141.78893311972448
sample_1,7,Awake,225,63.91182684236589,-44.6171901976039,-170.42158421074953
sample_1,7,Awake,226,61.75293241498216,-53.39594853275928,-192.14606930528464
sample_1,7,Awake,227,52.71280397467265,-60.44251082784586,-188.72413588773875
sample_1,7,Awake,228,37.45773052205482,-68.92199281820119,-144.10501855212726
sample_1,7,Awake,229,19.0494048853384,-80.77277603068556,-59.702446475416586
sample_1,7,Awake,230,0.3810875711532127,-96.37395302392748,42.05503967361096
sample_1,7,Awake,231,-17.016980576387724,-116.38310139582278,131.67731967883503
sample_1,7,Awake,232,-32.34566540409217,-141.78893311972448,189.739815621588
sample_1,7,Awake,233,-44.6171901976039,-170.42158421074953,213.5743938982743
sample_1,7,Awake,234,-53.39594853275928,-192.14606930528464,213.2749055526377
sample_1,7,Awake,235,-60.44251082784586,-188.72413588773875,202.9008707679494
sample_1,7,Awake,236,-68.92199281820119,-144.10501855212726,192.3155166212665
sample_1,7,Awake,237,-80.77277603068556,-59.702446475416586,183.494884611196
sample_1,7,Awake,238,-96.37395302392748,42.05503967361096,172.9466917213189
sample_1,7,Awake,239,-116.38310139582278,131.67731967883503,157.89098349822638
sample_1,7,Awake,240,-141.78893311972448,189.739815621588,140.72174087422167
sample_1,7,Awake,241,-170.42158421074953,213.5743938982743,127.40313169258292
sample_1,7,Awake,242,-192.14606930528464,213.2749055526377,121.4589397540048
sample_1,7,Awake,243,-188.72413588773875,202.9008707679494,120.67071738141456
sample_1,7,Awake,244,-144.10501855212726,192.3155166212665,119.77000100848626
sample_1,7,Awake,245,-59.702446475416586,183.494884611196,114.51300549774918
sample_1,7,Awake,246,42.05503967361096,172.9466917213189,102.7336747073162
sample_1,7,Awake,247,131.67731967883503,157.89098349822638,83.68576537600782
sample_1,7,Awake,248,189.739815621588,140.72174087422167,58.15481525736451
sample_1,7,Awake,249,213.5743938982743,127.40313169258292,28.949152157277247
sample_1,7,Awake,250,213.2749055526377,121.4589397540048,0.0154626800596879
sample_1,7,Awake,251,202.9008707679494,120.67071738141456,-25.96870140931433
sample_1,7,Awake,252,192.3155166212665,119.77000100848626,-48.91409401624079
sample_1,7,Awake,253,183.494884611196,114.51300549774918,-70.09358010596075
sample_1,7,Awake,254,172.9466917213189,102.7336747073162,-90.39933609700252
sample_1,7,Awake,255,157.89098349822638,83.68576537600782,-110.10655829164904
sample_1,7,Awake,256,140.72174087422167,58.15481525736451,-129.7129362382613
sample_1,7,Awake,257,127.40313169258292,28.949152157277247,-150.0450848944996
sample_1,7,Awake,258,121.4589397540048,0.0154626800596879,-171.53756446779778
sample_1,7,Awake,259,120.67071738141456,-25.96870140931433,-194.4544135362286
sample_1,7,Awake,260,119.77000100848626,-48.91409401624079,-220.0575665006885
sample_1,7,Awake,261,114.51300549774918,-70.09358010596075,-249.8431459827422
sample_1,7,Awake,262,102.7336747073162,-90.39933609700252,-280.7110695228648
sample_1,7,Awake,263,83.68576537600782,-110.10655829164904,-299.4885009131703
sample_1,7,Awake,264,58.15481525736451,-129.7129362382613,-284.71437949667234
sample_1,7,Awake,265,28.949152157277247,-150.0450848944996,-220.42496530348075
sample_1,7,Awake,266,0.0154626800596879,-171.53756446779778,-113.5311870356404
sample_1,7,Awake,267,-25.96870140931433,-194.4544135362286,5.360068821188536
sample_1,7,Awake,268,-48.91409401624079,-220.0575665006885,102.57062785501252
sample_1,7,Awake,269,-70.09358010596075,-249.8431459827422,161.2930997596913
sample_1,7,Awake,270,-90.39933609700252,-280.7110695228648,183.9898071268651
sample_1,7,Awake,271,-110.10655829164904,-299.4885009131703,183.72693327685232
sample_1,7,Awake,272,-129.7129362382613,-284.71437949667234,175.18950256065798
sample_1,7,Awake,273,-150.0450848944996,-220.42496530348075,168.19445826571766
sample_1,7,Awake,274,-171.53756446779778,-113.5311870356404,164.2930281501187
sample_1,7,Awake,275,-194.4544135362286,5.360068821188536,158.55741819983496
sample_1,7,Awake,276,-220.0575665006885,102.57062785501252,146.19606250728586
sample_1,7,Awake,277,-249.8431459827422,161.2930997596913,128.40823636406571
sample_1,7,Awake,278,-280.7110695228648,183.9898071268651,111.4404048753794
sample_1,7,Awake,279,-299.4885009131703,183.72693327685232,100.35578160828312
sample_1,7,Awake,280,-284.71437949667234,175.18950256065798,95.01687931417918
sample_1,7,Awake,281,-220.42496530348075,168.19445826571766,91.4072155230483
sample_1,7,Awake,282,-113.5311870356404,164.2930281501187,85.03848766786987
sample_1,7,Awake,283,5.360068821188536,158.55741819983496,73.40594890935589
sample_1,7,Awake,284,102.57062785501252,146.19606250728586,56.67313911143348
sample_1,7,Awake,285,161.2930997596913,128.40823636406571,36.700048060930165
sample_1,7,Awake,286,183.9898071268651,111.4404048753794,15.552581121563758
sample_1,7,Awake,287,183.72693327685232,100.35578160828312,-5.528411061006161
sample_1,7,Awake,288,175.18950256065798,95.01687931417918,-26.090693525935507
sample_1,7,Awake,289,168.19445826571766,91.4072155230483,-45.53516313839236
sample_1,7,Awake,290,164.2930281501187,85.03848766786987,-63.210236273065846
sample_1,7,Awake,291,158.55741819983496,73.40594890935589,-79.5092544270756
sample_1,7,Awake,292,146.19606250728586,56.67313911143348,-95.78488045520156
sample_1,7,Awake,293,128.40823636406571,36.700048060930165,-113.30051715323594
