time_s,mean_log_distance,n_pairs,in_fit_region
0.9199999999991633,4.958487359786996,2858,True
0.9399999999991451,4.961555166259581,2857,True
0.9599999999991269,4.965593136048078,2854,True
0.9799999999991087,4.988346675449351,2851,True
0.9999999999990905,5.017268025821153,2850,True
1.0199999999990723,5.047678732855443,2848,True
1.0399999999990541,5.073651038213425,2845,True
1.059999999999036,5.0939724325391875,2842,True
1.0799999999990177,5.108230190082939,2839,True
1.0999999999989996,5.1222643330443525,2838,True
1.1199999999989814,5.132937199592216,2835,True
1.1399999999989632,5.148454397608034,2833,True
1.159999999998945,5.162188573552957,2831,True
1.1799999999989268,5.17522294108474,2828,True
1.1999999999989086,5.195028167244243,2826,True
1.2199999999988904,5.217526685506747,2825,True
1.2399999999988722,5.238069890044257,2824,True
1.259999999998854,5.261229263666775,2821,True
1.2799999999988358,5.280202720569946,2818,True
1.2999999999988177,5.295733478647185,2816,True
1.3199999999987995,5.30043719854664,2813,False
1.3399999999987813,5.300416977838003,2810,False
1.359999999998763,5.311109292182524,2808,False
1.379999999998745,5.330713033326927,2807,False
1.3999999999987267,5.349870638697059,2806,False
1.4199999999987085,5.370712957557982,2806,False
1.4399999999986903,5.390383389327645,2803,False
1.4599999999986721,5.408886429818917,2801,False
1.479999999998654,5.417249047077494,2800,False
1.4999999999986358,5.416000754114466,2797,False
1.5199999999986176,5.4205900202759425,2796,False
1.5399999999985994,5.430516561504468,2795,False
1.5599999999985812,5.442046029873463,2793,False
1.579999999998563,5.4588131549403,2793,False
1.5999999999985448,5.481944634604208,2791,False
1.6199999999985266,5.504191572755016,2790,False
1.6399999999985084,5.515686038777756,2787,False
1.6599999999984902,5.515589509105941,2784,False
1.679999999998472,5.516281757913128,2783,False
1.6999999999984539,5.519800816261809,2783,False
1.7199999999984357,5.5281069280105495,2783,False
1.7399999999984175,5.543073262033642,2782,False
1.7599999999983993,5.5620294942522746,2781,False
1.779999999998381,5.581451269598682,2779,False
1.799999999998363,5.595255106031976,2776,False
1.8199999999983447,5.602301016993566,2773,False
1.8399999999983265,5.611370953673291,2768,False
1.8599999999983083,5.616901953486016,2765,False
1.8799999999982901,5.619670674274787,2762,False
1.899999999998272,5.625848835570793,2761,False
1.9199999999982538,5.636609618402641,2760,False
1.9399999999982356,5.652171222522243,2759,False
1.9599999999982174,5.665951384294052,2757,False
1.9799999999981992,5.678508080092078,2755,False
1.999999999998181,5.695061264282052,2752,False
2.019999999998163,5.703442000621411,2750,False
2.0399999999981446,5.701619486858106,2746,False
2.0599999999981264,5.699966872859957,2744,False
2.0799999999981083,5.702860106897519,2742,False
2.09999999999809,5.712925800201058,2740,False
2.119999999998072,5.7252996621465915,2737,False
2.1399999999980537,5.736889200742716,2735,False
2.1599999999980355,5.748384488601303,2733,False
2.1799999999980173,5.748227526287725,2729,False
2.199999999997999,5.7392450461486835,2725,False
2.219999999997981,5.7381108448701355,2723,False
2.2399999999979627,5.746335642395182,2722,False
2.2599999999979445,5.761425391191458,2720,False
2.2799999999979264,5.776607229514567,2718,False
2.299999999997908,5.786623880187261,2714,False
2.31999999999789,5.794210018438122,2709,False
2.339999999997872,5.7914822952881995,2703,False
2.3599999999978536,5.783881801324936,2699,False
2.3799999999978354,5.783751944413251,2697,False
2.399999999997817,5.792607339249158,2697,False
2.419999999997799,5.805419992876795,2695,False
2.439999999997781,5.819320174227868,2694,False
2.4599999999977626,5.829729395406812,2692,False
2.4799999999977445,5.836194314948428,2690,False
2.4999999999977263,5.831369657006865,2687,False
2.519999999997708,5.822817030276357,2685,False
2.53999999999769,5.821414064866684,2684,False
2.5599999999976717,5.829637722292834,2683,False
2.5799999999976535,5.842664522100658,2683,False
2.5999999999976353,5.8567734763040695,2683,False
2.619999999997617,5.866758541398091,2681,False
2.639999999997599,5.869856325818883,2679,False
2.6599999999975807,5.865212569800995,2676,False
2.6799999999975626,5.857437003528208,2675,False
2.6999999999975444,5.856366235769653,2674,False
2.719999999997526,5.864447730427138,2673,False
2.739999999997508,5.876554824586426,2672,False
2.75999999999749,5.889892767020974,2671,False
2.7799999999974716,5.899627410575103,2670,False
2.7999999999974534,5.9014436720460886,2668,False
2.8199999999974352,5.895404081106296,2667,False
2.839999999997417,5.891371682494544,2666,False
2.859999999997399,5.8924055594211415,2665,False
2.8799999999973807,5.897118279315561,2663,False
2.8999999999973625,5.902560682076525,2662,False
2.9199999999973443,5.909834261384921,2661,False
2.939999999997326,5.9147106754526835,2660,False
2.959999999997308,5.916420148181478,2659,False
2.9799999999972897,5.9165789899180545,2657,False
2.9999999999972715,5.917684459264474,2656,False
3.0199999999972533,5.919771555972777,2654,False
3.039999999997235,5.922246787470207,2653,False
3.059999999997217,5.926340736698974,2652,False
3.0799999999971988,5.932707876468529,2651,False
3.0999999999971806,5.93963136972483,2650,False
3.1199999999971624,5.942862681656825,2649,False
3.139999999997144,5.944495308368222,2647,False
3.159999999997126,5.947059542608531,2646,False
3.179999999997108,5.951388771654132,2645,False
3.1999999999970896,5.957890669758117,2644,False
3.2199999999970714,5.965677762995141,2643,False
3.2399999999970532,5.972250724230341,2642,False
3.259999999997035,5.976328829768438,2641,False
3.279999999997017,5.9758661731892975,2640,False
3.2999999999969987,5.97752242653525,2638,False
3.3199999999969805,5.982081316172168,2636,False
3.3399999999969623,5.9896013136146165,2635,False
3.359999999996944,5.996233924106481,2634,False
3.379999999996926,6.000637953097173,2633,False
3.3999999999969077,6.001984655907581,2632,False
3.4199999999968895,6.002811727020094,2631,False
3.4399999999968713,6.004564152790735,2630,False
3.459999999996853,6.011097343933022,2627,False
3.479999999996835,6.019139306654854,2626,False
3.4999999999968168,6.026957950572733,2625,False
3.5199999999967986,6.028982202942772,2624,False
3.5399999999967804,6.027597082773149,2623,False
3.559999999996762,6.022721782037563,2622,False
3.579999999996744,6.019210183038558,2621,False
3.599999999996726,6.020711189243521,2620,False
