scope,group_value,threshold_pct,n_windows,n_failed,failure_rate_pct,median_min_fnn_pct,q25_min_fnn_pct,q75_min_fnn_pct,median_fnn_at_max_m,near_threshold_pct,moderate_pct,far_pct
session,sample_7.csv,1.0,156,85,54.48717948717949,1.6326530612244898,1.2290502793296088,2.5342465753424657,2.2758620689655173,62.35294117647059,37.64705882352941,0.0
session,sample_8.csv,1.0,161,105,65.21739130434783,2.04778156996587,1.2881355932203389,2.602739726027397,2.2758620689655173,48.57142857142857,51.42857142857142,0.0
session,sample_9.csv,1.0,199,65,32.663316582914575,1.5824915824915826,1.1612021857923498,2.040358744394619,2.0689655172413794,73.84615384615385,26.153846153846157,0.0
session,sample_1.csv,2.0,80,0,0.0,,,,,,,
session,sample_10.csv,2.0,121,38,31.40495867768595,2.8668941979522184,2.4655172413793105,3.347691004095467,3.1724137931034484,60.526315789473685,39.473684210526315,0.0
session,sample_11.csv,2.0,129,47,36.434108527131784,2.66531713900135,2.2699989162847443,2.9370256011431097,2.896551724137931,76.59574468085107,23.404255319148938,0.0
session,sample_12.csv,2.0,182,30,16.483516483516482,2.3991813176236993,2.170467447278498,2.7111821763100687,2.795427696499972,93.33333333333333,6.666666666666667,0.0
session,sample_13.csv,2.0,162,48,29.62962962962963,2.854471069549971,2.499885347397386,3.454135954135954,2.896551724137931,60.416666666666664,39.58333333333333,0.0
session,sample_14.csv,2.0,147,18,12.244897959183673,2.3407986728285346,2.2459212446375476,2.555148589028552,3.413793103448276,83.33333333333334,16.666666666666664,0.0
session,sample_15.csv,2.0,106,19,17.92452830188679,2.542955326460481,2.214599150240301,2.8915748311411305,3.0136986301369864,84.21052631578947,15.789473684210526,0.0
session,sample_17.csv,2.0,147,42,28.571428571428573,2.661441054962032,2.300418625146886,2.970837061524531,3.0431823762584624,76.19047619047619,23.809523809523807,0.0
session,sample_18.csv,2.0,138,13,9.420289855072463,2.4283305227655987,2.195945945945946,2.639593908629441,3.1235955056179776,100.0,0.0,0.0
session,sample_19.csv,2.0,149,6,4.026845637583893,2.424414796428448,2.276013560260136,2.645272667148815,3.2847520946202557,83.33333333333334,16.666666666666664,0.0
session,sample_21.csv,2.0,136,38,27.941176470588236,2.645725082664147,2.2456625702051936,3.549246451851509,3.3845704266510808,55.26315789473685,44.73684210526316,0.0
session,sample_22.csv,2.0,144,45,31.25,2.5517241379310347,2.225969645868465,3.2323232323232323,2.9655172413793105,68.88888888888889,31.11111111111111,0.0
session,sample_23.csv,2.0,184,63,34.23913043478261,2.9441624365482237,2.538307637989879,3.5314193473999773,3.186440677966101,52.38095238095239,47.61904761904761,0.0
session,sample_25.csv,2.0,142,26,18.309859154929576,2.444421382777547,2.1254606772825255,2.7049931091156556,2.9655172413793105,92.3076923076923,7.6923076923076925,0.0
session,sample_4.csv,2.0,158,63,39.87341772151899,2.808219178082192,2.409645692617609,3.470713273500236,3.034389750505732,53.96825396825397,46.03174603174603,0.0
session,sample_5.csv,2.0,138,7,5.072463768115942,2.6440677966101696,2.112038085907602,2.773868167956838,2.671232876712329,85.71428571428571,14.285714285714285,0.0
session,sample_6.csv,2.0,163,62,38.03680981595092,2.6966356294647538,2.3816390668862066,3.319956501911811,2.950152594099695,64.51612903225806,35.483870967741936,0.0
session,sample_7.csv,2.0,156,32,20.512820512820515,2.9351253540946445,2.4806256665481694,3.3248587570621466,3.110372397285661,53.125,46.875,0.0
session,sample_8.csv,2.0,161,54,33.54037267080745,2.5938868698164192,2.2639189114288882,2.8629155151749783,2.8380047005998525,83.33333333333334,16.666666666666664,0.0
session,sample_9.csv,2.0,199,17,8.542713567839195,2.4742268041237114,2.336769759450172,2.8764805414551606,3.1724137931034484,88.23529411764706,11.76470588235294,0.0
session,sample_1.csv,3.0,80,0,0.0,,,,,,,
session,sample_10.csv,3.0,121,15,12.396694214876034,3.475336322869956,3.2300425129900803,3.732876712328767,3.796610169491525,93.33333333333333,6.666666666666667,0.0
session,sample_11.csv,3.0,129,11,8.527131782945736,3.4482758620689653,3.1275216555116456,3.550453904511077,3.586206896551724,100.0,0.0,0.0
session,sample_12.csv,3.0,182,2,1.098901098901099,3.461432941724732,3.4383667440864096,3.484499139363054,3.623188405797101,100.0,0.0,0.0
session,sample_13.csv,3.0,162,19,11.728395061728396,3.5616438356164384,3.3109674413186556,3.7328032088948317,3.728813559322034,89.47368421052632,10.526315789473683,0.0
session,sample_14.csv,3.0,147,3,2.0408163265306123,3.2764505119453924,3.150252747381631,3.3564383143919403,3.586206896551724,100.0,0.0,0.0
session,sample_15.csv,3.0,106,3,2.830188679245283,3.103448275862069,3.0928200283419933,3.4224724372507627,3.931034482758621,100.0,0.0,0.0
session,sample_17.csv,3.0,147,10,6.802721088435374,3.1794380288933564,3.099513027306129,3.5324232081911267,3.586206896551724,90.0,10.0,0.0
session,sample_18.csv,3.0,138,0,0.0,,,,,,,
session,sample_19.csv,3.0,149,1,0.6711409395973155,3.219178082191781,3.219178082191781,3.219178082191781,4.275862068965517,100.0,0.0,0.0
session,sample_21.csv,3.0,136,17,12.5,3.609865470852018,3.4129692832764507,4.0,4.0,82.35294117647058,17.647058823529413,0.0
session,sample_22.csv,3.0,144,14,9.722222222222221,3.327684413689215,3.2654779083350514,3.5077402376252955,3.571700628451724,92.85714285714286,7.142857142857142,0.0
session,sample_23.csv,3.0,184,30,16.304347826086957,3.543451510296952,3.2682363485934918,4.023879176243876,3.966292134831461,70.0,30.0,0.0
session,sample_25.csv,3.0,142,2,1.408450704225352,3.39536492563127,3.330335524040125,3.460394327222415,3.9655172413793105,100.0,0.0,0.0
session,sample_4.csv,3.0,158,29,18.354430379746834,3.5051546391752577,3.3175355450236967,3.913630229419703,3.724137931034482,79.3103448275862,20.689655172413794,0.0
session,sample_5.csv,3.0,138,1,0.7246376811594203,3.1724137931034484,3.1724137931034484,3.1724137931034484,3.1724137931034484,100.0,0.0,0.0
session,sample_6.csv,3.0,163,22,13.496932515337424,3.5275559152270035,3.3135487190280752,3.7714369472809888,3.655172413793104,86.36363636363636,13.636363636363635,0.0
session,sample_7.csv,3.0,156,15,9.615384615384615,3.333333333333333,3.226983918570996,3.5026498260686854,3.6622583926754833,100.0,0.0,0.0
session,sample_8.csv,3.0,161,9,5.590062111801243,3.2081911262798632,3.0240549828178693,3.379310344827586,3.379310344827586,100.0,0.0,0.0
session,sample_9.csv,3.0,199,2,1.0050251256281406,3.3573765877344215,3.180394778508849,3.5343583969599943,3.4827586206896552,100.0,0.0,0.0
session,sample_1.csv,4.0,80,0,0.0,,,,,,,
session,sample_10.csv,4.0,121,1,0.8264462809917356,4.436860068259386,4.436860068259386,4.436860068259386,5.517241379310345,100.0,0.0,0.0
session,sample_11.csv,4.0,129,0,0.0,,,,,,,
session,sample_12.csv,4.0,182,0,0.0,,,,,,,
session,sample_13.csv,4.0,162,2,1.2345679012345678,4.4051020998438135,4.355093422803263,4.455110776884364,4.669783752191701,100.0,0.0,0.0
session,sample_14.csv,4.0,147,0,0.0,,,,,,,
session,sample_15.csv,4.0,106,0,0.0,,,,,,,
session,sample_17.csv,4.0,147,1,0.6802721088435374,4.149659863945578,4.149659863945578,4.149659863945578,5.793103448275862,100.0,0.0,0.0
session,sample_18.csv,4.0,138,0,0.0,,,,,,,
session,sample_19.csv,4.0,149,0,0.0,,,,,,,
session,sample_21.csv,4.0,136,3,2.2058823529411766,4.271186440677966,4.204558737580363,4.3198935616359115,5.862068965517241,100.0,0.0,0.0
