session,window_id,window_size_s,label,representation,threshold_pct,selected_m,m_found,min_fnn_percent,fnn_at_selected_m,valid_count_at_selected_m
sample_1.csv,4,60,Awake,Raw,3.0,6.0,True,0.7931034482758621,2.312925170068027,2940.0
sample_1.csv,4,60,Awake,Raw,4.0,5.0,True,0.7931034482758621,3.898305084745763,2950.0
sample_1.csv,4,60,Awake,Raw,5.0,5.0,True,0.7931034482758621,3.898305084745763,2950.0
sample_1.csv,4,120,Awake,Processed,1.0,6.0,True,0.3205128205128205,0.9576612903225806,5952.0
sample_1.csv,4,120,Awake,Processed,2.0,5.0,True,0.3205128205128205,1.3926174496644297,5960.0
sample_1.csv,4,120,Awake,Processed,3.0,5.0,True,0.3205128205128205,1.3926174496644297,5960.0
sample_1.csv,4,120,Awake,Processed,4.0,4.0,True,0.3205128205128205,3.820375335120643,5968.0
sample_1.csv,4,120,Awake,Processed,5.0,4.0,True,0.3205128205128205,3.820375335120643,5968.0
sample_1.csv,4,120,Awake,Raw,1.0,5.0,True,0.0,0.7226890756302521,5950.0
sample_1.csv,4,120,Awake,Raw,2.0,5.0,True,0.0,0.7226890756302521,5950.0
sample_1.csv,4,120,Awake,Raw,3.0,4.0,True,0.0,2.449664429530201,5960.0
sample_1.csv,4,120,Awake,Raw,4.0,4.0,True,0.0,2.449664429530201,5960.0
sample_1.csv,4,120,Awake,Raw,5.0,4.0,True,0.0,2.449664429530201,5960.0
sample_1.csv,4,180,Awake,Processed,1.0,6.0,True,0.1902417188898836,0.6032171581769437,8952.0
sample_1.csv,4,180,Awake,Processed,2.0,5.0,True,0.1902417188898836,1.0825892857142856,8960.0
sample_1.csv,4,180,Awake,Processed,3.0,5.0,True,0.1902417188898836,1.0825892857142856,8960.0
sample_1.csv,4,180,Awake,Processed,4.0,4.0,True,0.1902417188898836,3.568242640499554,8968.0
sample_1.csv,4,180,Awake,Processed,5.0,4.0,True,0.1902417188898836,3.568242640499554,8968.0
sample_1.csv,4,180,Awake,Raw,1.0,7.0,True,0.0448933782267115,0.3023516237402016,8930.0
sample_1.csv,4,180,Awake,Raw,2.0,6.0,True,0.0448933782267115,1.2304250559284116,8940.0
sample_1.csv,4,180,Awake,Raw,3.0,5.0,True,0.0448933782267115,2.927374301675977,8950.0
sample_1.csv,4,180,Awake,Raw,4.0,5.0,True,0.0448933782267115,2.927374301675977,8950.0
sample_1.csv,4,180,Awake,Raw,5.0,5.0,True,0.0448933782267115,2.927374301675977,8950.0
sample_1.csv,5,60,Awake,Processed,1.0,5.0,True,0.1366120218579235,0.945945945945946,2960.0
sample_1.csv,5,60,Awake,Processed,2.0,5.0,True,0.1366120218579235,0.945945945945946,2960.0
sample_1.csv,5,60,Awake,Processed,3.0,5.0,True,0.1366120218579235,0.945945945945946,2960.0
sample_1.csv,5,60,Awake,Processed,4.0,4.0,True,0.1366120218579235,3.0660377358490565,2968.0
sample_1.csv,5,60,Awake,Processed,5.0,4.0,True,0.1366120218579235,3.0660377358490565,2968.0
sample_1.csv,5,60,Awake,Raw,1.0,6.0,True,0.0,0.8843537414965987,2940.0
sample_1.csv,5,60,Awake,Raw,2.0,6.0,True,0.0,0.8843537414965987,2940.0
sample_1.csv,5,60,Awake,Raw,3.0,5.0,True,0.0,2.067796610169492,2950.0
sample_1.csv,5,60,Awake,Raw,4.0,5.0,True,0.0,2.067796610169492,2950.0
sample_1.csv,5,60,Awake,Raw,5.0,5.0,True,0.0,2.067796610169492,2950.0
sample_1.csv,5,120,Awake,Processed,1.0,5.0,True,0.0843454790823211,0.9899328859060404,5960.0
sample_1.csv,5,120,Awake,Processed,2.0,5.0,True,0.0843454790823211,0.9899328859060404,5960.0
sample_1.csv,5,120,Awake,Processed,3.0,5.0,True,0.0843454790823211,0.9899328859060404,5960.0
sample_1.csv,5,120,Awake,Processed,4.0,4.0,True,0.0843454790823211,3.116621983914209,5968.0
sample_1.csv,5,120,Awake,Processed,5.0,4.0,True,0.0843454790823211,3.116621983914209,5968.0
sample_1.csv,5,120,Awake,Raw,1.0,6.0,True,0.0,0.7575757575757576,5940.0
sample_1.csv,5,120,Awake,Raw,2.0,6.0,True,0.0,0.7575757575757576,5940.0
sample_1.csv,5,120,Awake,Raw,3.0,5.0,True,0.0,2.5210084033613445,5950.0
sample_1.csv,5,120,Awake,Raw,4.0,5.0,True,0.0,2.5210084033613445,5950.0
sample_1.csv,5,120,Awake,Raw,5.0,4.0,True,0.0,4.899328859060403,5960.0
sample_1.csv,5,180,Awake,Processed,1.0,5.0,True,0.246415770609319,0.9486607142857142,8960.0
sample_1.csv,5,180,Awake,Processed,2.0,5.0,True,0.246415770609319,0.9486607142857142,8960.0
sample_1.csv,5,180,Awake,Processed,3.0,5.0,True,0.246415770609319,0.9486607142857142,8960.0
sample_1.csv,5,180,Awake,Processed,4.0,5.0,True,0.246415770609319,0.9486607142857142,8960.0
sample_1.csv,5,180,Awake,Processed,5.0,4.0,True,0.246415770609319,4.348795718108831,8968.0
sample_1.csv,5,180,Awake,Raw,1.0,7.0,True,0.0,0.6382978723404255,8930.0
sample_1.csv,5,180,Awake,Raw,2.0,6.0,True,0.0,1.7673378076062638,8940.0
sample_1.csv,5,180,Awake,Raw,3.0,6.0,True,0.0,1.7673378076062638,8940.0
sample_1.csv,5,180,Awake,Raw,4.0,5.0,True,0.0,3.720670391061452,8950.0
sample_1.csv,5,180,Awake,Raw,5.0,5.0,True,0.0,3.720670391061452,8950.0
sample_1.csv,6,60,Awake,Processed,1.0,6.0,True,0.6097560975609756,0.6097560975609756,2952.0
sample_1.csv,6,60,Awake,Processed,2.0,5.0,True,0.6097560975609756,1.5202702702702704,2960.0
sample_1.csv,6,60,Awake,Processed,3.0,5.0,True,0.6097560975609756,1.5202702702702704,2960.0
sample_1.csv,6,60,Awake,Processed,4.0,5.0,True,0.6097560975609756,1.5202702702702704,2960.0
sample_1.csv,6,60,Awake,Processed,5.0,4.0,True,0.6097560975609756,4.2789757412398925,2968.0
sample_1.csv,6,60,Awake,Raw,1.0,5.0,True,0.0343642611683848,0.7457627118644068,2950.0
sample_1.csv,6,60,Awake,Raw,2.0,5.0,True,0.0343642611683848,0.7457627118644068,2950.0
sample_1.csv,6,60,Awake,Raw,3.0,4.0,True,0.0343642611683848,2.635135135135135,2960.0
sample_1.csv,6,60,Awake,Raw,4.0,4.0,True,0.0343642611683848,2.635135135135135,2960.0
sample_1.csv,6,60,Awake,Raw,5.0,4.0,True,0.0343642611683848,2.635135135135135,2960.0
sample_1.csv,6,120,Awake,Processed,1.0,5.0,True,0.1179245283018868,0.8389261744966443,5960.0
sample_1.csv,6,120,Awake,Processed,2.0,5.0,True,0.1179245283018868,0.8389261744966443,5960.0
sample_1.csv,6,120,Awake,Processed,3.0,4.0,True,0.1179245283018868,2.7479892761394105,5968.0
sample_1.csv,6,120,Awake,Processed,4.0,4.0,True,0.1179245283018868,2.7479892761394105,5968.0
sample_1.csv,6,120,Awake,Processed,5.0,4.0,True,0.1179245283018868,2.7479892761394105,5968.0
sample_1.csv,6,180,Drowsy,Processed,1.0,5.0,True,0.0670840787119856,0.2455357142857142,8960.0
sample_1.csv,6,180,Drowsy,Processed,2.0,4.0,True,0.0670840787119856,1.683764495985727,8968.0
sample_1.csv,6,180,Drowsy,Processed,3.0,4.0,True,0.0670840787119856,1.683764495985727,8968.0
sample_1.csv,6,180,Drowsy,Processed,4.0,4.0,True,0.0670840787119856,1.683764495985727,8968.0
sample_1.csv,6,180,Drowsy,Processed,5.0,4.0,True,0.0670840787119856,1.683764495985727,8968.0
sample_1.csv,7,60,Awake,Processed,1.0,5.0,True,0.0679347826086956,0.8108108108108109,2960.0
sample_1.csv,7,60,Awake,Processed,2.0,5.0,True,0.0679347826086956,0.8108108108108109,2960.0
sample_1.csv,7,60,Awake,Processed,3.0,5.0,True,0.0679347826086956,0.8108108108108109,2960.0
sample_1.csv,7,60,Awake,Processed,4.0,4.0,True,0.0679347826086956,3.7735849056603774,2968.0
sample_1.csv,7,60,Awake,Processed,5.0,4.0,True,0.0679347826086956,3.7735849056603774,2968.0
sample_1.csv,7,120,Awake,Processed,1.0,5.0,True,0.3036437246963562,0.7214765100671141,5960.0
sample_1.csv,7,120,Awake,Processed,2.0,5.0,True,0.3036437246963562,0.7214765100671141,5960.0
sample_1.csv,7,120,Awake,Processed,3.0,5.0,True,0.3036437246963562,0.7214765100671141,5960.0
sample_1.csv,7,120,Awake,Processed,4.0,4.0,True,0.3036437246963562,3.5355227882037537,5968.0
sample_1.csv,7,120,Awake,Processed,5.0,4.0,True,0.3036437246963562,3.5355227882037537,5968.0
sample_1.csv,7,120,Awake,Raw,1.0,7.0,True,0.0,0.2023608768971332,5930.0
sample_1.csv,7,120,Awake,Raw,2.0,6.0,True,0.0,1.2626262626262623,5940.0
sample_1.csv,7,120,Awake,Raw,3.0,5.0,True,0.0,2.26890756302521,5950.0
sample_1.csv,7,120,Awake,Raw,4.0,5.0,True,0.0,2.26890756302521,5950.0
sample_1.csv,7,120,Awake,Raw,5.0,5.0,True,0.0,2.26890756302521,5950.0
sample_1.csv,7,180,Awake,Processed,1.0,5.0,True,0.0335720680393912,0.3348214285714285,8960.0
sample_1.csv,7,180,Awake,Processed,2.0,5.0,True,0.0335720680393912,0.3348214285714285,8960.0
sample_1.csv,7,180,Awake,Processed,3.0,5.0,True,0.0335720680393912,0.3348214285714285,8960.0
sample_1.csv,7,180,Awake,Processed,4.0,4.0,True,0.0335720680393912,3.044157002676182,8968.0
sample_1.csv,7,180,Awake,Processed,5.0,4.0,True,0.0335720680393912,3.044157002676182,8968.0
sample_1.csv,7,180,Awake,Raw,1.0,5.0,True,0.0,0.8156424581005586,8950.0
sample_1.csv,7,180,Awake,Raw,2.0,5.0,True,0.0,0.8156424581005586,8950.0
sample_1.csv,7,180,Awake,Raw,3.0,5.0,True,0.0,0.8156424581005586,8950.0
sample_1.csv,7,180,Awake,Raw,4.0,4.0,True,0.0,3.872767857142857,8960.0
sample_1.csv,7,180,Awake,Raw,5.0,4.0,True,0.0,3.872767857142857,8960.0
sample_1.csv,8,60,Awake,Processed,1.0,8.0,True,0.5806010928961749,0.8514986376021799,2936.0
sample_1.csv,8,60,Awake,Processed,2.0,5.0,True,0.5806010928961749,1.4527027027027029,2960.0
sample_1.csv,8,60,Awake,Processed,3.0,4.0,True,0.5806010928961749,2.15633423180593,2968.0
sample_1.csv,8,60,Awake,Processed,4.0,4.0,True,0.5806010928961749,2.15633423180593,2968.0
sample_1.csv,8,60,Awake,Processed,5.0,4.0,True,0.5806010928961749,2.15633423180593,2968.0
sample_1.csv,8,60,Awake,Raw,1.0,5.0,True,0.0,0.576271186440678,2950.0
sample_1.csv,8,60,Awake,Raw,2.0,4.0,True,0.0,1.2837837837837838,2960.0
sample_1.csv,8,60,Awake,Raw,3.0,4.0,True,0.0,1.2837837837837838,2960.0
sample_1.csv,8,60,Awake,Raw,4.0,4.0,True,0.0,1.2837837837837838,2960.0
sample_1.csv,8,60,Awake,Raw,5.0,4.0,True,0.0,1.2837837837837838,2960.0
sample_1.csv,8,120,Awake,Processed,1.0,5.0,True,0.0336927223719676,0.4865771812080537,5960.0
sample_1.csv,8,120,Awake,Processed,2.0,5.0,True,0.0336927223719676,0.4865771812080537,5960.0
sample_1.csv,8,120,Awake,Processed,3.0,4.0,True,0.0336927223719676,2.1615281501340484,5968.0
sample_1.csv,8,120,Awake,Processed,4.0,4.0,True,0.0336927223719676,2.1615281501340484,5968.0
sample_1.csv,8,120,Awake,Processed,5.0,4.0,True,0.0336927223719676,2.1615281501340484,5968.0
sample_1.csv,8,120,Awake,Raw,1.0,7.0,True,0.0169491525423728,0.4215851602023608,5930.0
sample_1.csv,8,120,Awake,Raw,2.0,6.0,True,0.0169491525423728,1.0606060606060608,5940.0
sample_1.csv,8,120,Awake,Raw,3.0,5.0,True,0.0169491525423728,2.3025210084033616,5950.0
sample_1.csv,8,120,Awake,Raw,4.0,4.0,True,0.0169491525423728,3.9093959731543615,5960.0
sample_1.csv,8,120,Awake,Raw,5.0,4.0,True,0.0169491525423728,3.9093959731543615,5960.0
sample_1.csv,9,60,Awake,Processed,1.0,5.0,True,0.2043596730245231,0.8108108108108109,2960.0
sample_1.csv,9,60,Awake,Processed,2.0,4.0,True,0.2043596730245231,1.954177897574124,2968.0
sample_1.csv,9,60,Awake,Processed,3.0,4.0,True,0.2043596730245231,1.954177897574124,2968.0
sample_1.csv,9,60,Awake,Processed,4.0,4.0,True,0.2043596730245231,1.954177897574124,2968.0
sample_1.csv,9,60,Awake,Processed,5.0,4.0,True,0.2043596730245231,1.954177897574124,2968.0
sample_1.csv,9,60,Awake,Raw,1.0,6.0,True,0.0,0.5102040816326531,2940.0
sample_1.csv,9,60,Awake,Raw,2.0,5.0,True,0.0,1.966101694915254,2950.0
