scope,group_value,dimension,n_windows,median_fnn_pct,iqr_fnn_pct,q25_fnn_pct,q75_fnn_pct,q90_fnn_pct,median_delta_to_next,iqr_delta_to_next
representation,Processed,8,1544,0.8760107816711591,0.7137315467992613,0.5124264913478778,1.226158038147139,1.6846361185983827,-0.06849213084974921,0.2686603886414381
representation,Processed,9,1544,0.9296594982078854,0.8196721311475409,0.546448087431694,1.366120218579235,1.7759562841530054,-0.0702630486292003,0.28923795826911397
representation,Processed,10,1544,1.0273972602739725,0.946311198476565,0.5605381165919282,1.5068493150684932,1.9863013698630136,,
representation,Raw,1,1398,95.4515050167224,2.4795633630695306,94.04682274247492,96.52638610554445,97.22871452420702,52.60632777953774,8.229451308411498
representation,Raw,2,1398,42.013422818791945,10.047882504305498,37.986577181208055,48.03445968551355,52.1415690222226,30.600890662195084,9.259890580644853
representation,Raw,3,1398,12.390572390572393,6.329966329966329,8.88888888888889,15.218855218855218,17.373138161273754,7.7346536956906045,4.869457042815661
representation,Raw,4,1398,4.1891891891891895,2.566547251949937,3.040540540540541,5.607087792490478,6.876534940835008,1.3043539563476398,1.1412291041415408
representation,Raw,5,1398,2.915254237288136,1.9146630624027616,1.9497437172582552,3.864406779661017,4.64908359409924,0.5263461316730083,0.6441889654039109
representation,Raw,6,1398,2.312925170068027,1.8367346938775515,1.4285714285714286,3.26530612244898,4.0313214175111485,0.1281604792087485,0.41547989125488133
representation,Raw,7,1398,2.2608672662964144,1.7373992256448105,1.349072512647555,3.0864717382923654,3.890784982935153,0.11014788058174774,0.40277170141911844
representation,Raw,8,1398,2.141733408172339,1.7123287671232879,1.2328767123287672,2.945205479452055,3.5616438356164384,-0.0033616589536754615,0.32884857022876934
representation,Raw,9,1398,2.1553660718268848,1.6905045912632064,1.2536578452850173,2.9441624365482237,3.616036279318851,-0.009960482629549627,0.34557180965110446
representation,Raw,10,1398,2.206896551724138,1.6621464548624565,1.303370786516854,2.9655172413793105,3.621088847485912,,
state,Awake,1,1968,95.98930481283422,2.5140527372253985,94.71836826856008,97.23242100578548,98.19771708960111,56.47949482177653,10.369878241285846
state,Awake,2,1968,38.7248322147651,11.109954564114794,33.78016085790885,44.89011542202364,49.77885878510738,28.757877988964395,8.781919675235098
state,Awake,3,1968,9.15824915824916,5.743100091887991,6.922043010752688,12.665143102640679,16.05458575865433,5.912730912730913,3.8066116936144354
state,Awake,4,1968,3.286936937950399,2.17640206676091,2.2911051212938007,4.467507188054711,6.013513513513514,1.3359909944499806,1.1027268733978186
state,Awake,5,1968,1.7859136286798711,1.7089046701271475,1.2162162162162162,2.9251208863433638,4.074831782337051,0.40458141067897174,0.4833695100555673
state,Awake,6,1968,1.3550135501355014,1.5679442508710801,0.8130081300813009,2.380952380952381,3.4693877551020407,0.11142196326668824,0.3602395411472057
state,Awake,7,1968,1.2466320014212715,1.6751834307150983,0.6793478260869565,2.354531256802055,3.3632193566581647,0.06042825751554548,0.278901597442039
state,Awake,8,1968,1.232064055739042,1.6187606822648792,0.6415132903378606,2.26027397260274,3.150684931506849,-0.03424357965531925,0.28052631615521484
state,Awake,9,1968,1.3157894736842104,1.5849811278237844,0.6830601092896175,2.268041237113402,3.161512027491409,-0.06828694034982008,0.29233353734662376
state,Awake,10,1968,1.4383561643835616,1.654171137650562,0.7534246575342466,2.4075957951848084,3.2413793103448274,,
state,Drowsy,1,974,96.50069359202678,2.08999375072635,95.49896427155628,97.58895802228263,98.33110814419226,55.25801889968798,10.043765685007742
state,Drowsy,2,974,40.820080886089904,11.354175757408974,35.35034726595534,46.70452302336432,51.6948540589845,31.600716371909062,9.41731268119441
state,Drowsy,3,974,8.636590773279192,4.577901381660629,6.78763440860215,11.36553579026278,14.92929292929293,5.718831537050795,3.5177762081354933
state,Drowsy,4,974,2.9035955598455603,1.7710831816856825,2.0889487870619945,3.860031968747677,5.337837837837838,1.0089353875902431,0.9047162289531332
state,Drowsy,5,974,1.8080357142857144,1.4280806229958771,1.2837837837837838,2.711864406779661,3.841070532605785,0.39503371414483723,0.4918716410777101
state,Drowsy,6,974,1.3559322033898304,1.2961119407112438,0.8807588075880758,2.1768707482993195,3.26530612244898,0.12966961528638754,0.3698124654944839
state,Drowsy,7,974,1.2228260869565215,1.3662717506853914,0.7508532423208191,2.1171249930062106,3.0706633696287775,0.06225092628043827,0.3088170049986294
state,Drowsy,8,974,1.1471006046477745,1.3118124738465988,0.7393731026630148,2.0511855765096136,2.8767123287671232,-0.034632941059297054,0.303653720941953
state,Drowsy,9,974,1.2323549182164464,1.3069054675572067,0.7560137457044673,2.062919213261674,2.911011138643636,-0.06816387950318667,0.3085579790780407
state,Drowsy,10,974,1.3245053304667649,1.3270517198859717,0.8108793145967867,2.1379310344827585,2.9655172413793105,,
window_size,60,1,1718,95.41960277574088,1.8729096989966507,94.38127090301003,96.25418060200668,96.78779331372313,59.70162284165674,8.31554596576052
