session,representation,state,window_size,window_id,surrogate_id,seed,CC,NRMSE,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax
6,Processed,Awake,60,2,13,16893027048869474812,0.6304535019185529,0.7322527211856746,0.5474396506214906,2.9551813471502593,1.033435313755733,39.0,0.4585352977875894,2.2060725005772337,4.0
6,Processed,Awake,60,2,14,7336055560142160360,0.652534740461566,0.7265429121143748,0.5449440898401882,2.8783269961977185,1.0111804274769025,45.0,0.4860584537121467,2.156499520919834,3.0
6,Processed,Awake,60,2,15,10771515330158392701,0.6258186955651833,0.7460095172863555,0.5640447281278494,2.9611992945326278,1.0957830586634496,29.0,0.4928972500839852,2.179416445623342,4.0
6,Processed,Awake,60,2,16,14814544910634190421,0.6217606621469932,0.7492865149599287,0.560157412295436,3.078871010287523,1.1199547319613592,42.0,0.47266881028938906,2.176334106728538,4.0
6,Processed,Awake,60,2,17,9499198255500456038,0.5922177650814825,0.75922015631564,0.5642366943417958,2.9607151850919164,1.047463205604051,47.0,0.5025675481115324,2.1937781502042526,4.0
6,Processed,Awake,60,2,18,7935479597800888001,0.5313240093914577,0.7973774806535956,0.5420166050775064,2.875254582484725,1.0270593210405934,42.0,0.5239957767432932,2.228720146968769,4.0
6,Processed,Awake,60,2,19,16756848712358212022,0.6771103470042186,0.7054530097091575,0.5307865815616452,2.882460255407871,1.0130651228623941,50.0,0.4516725056390075,2.142141800386935,4.0
6,Processed,Awake,60,2,20,11853692699287174018,0.5517419300522067,0.7893093803902927,0.5816096367039401,3.057265388496468,1.09162969969955,47.0,0.5307625857849019,2.1926050753370343,4.0
6,Processed,Awake,60,2,21,603790339209989562,0.5926823150857209,0.7688679359328092,0.5729711570763546,3.041783439490446,1.110327657077103,32.0,0.5159331957575467,2.2104451526678317,4.0
6,Processed,Awake,60,2,22,8398784086167320263,0.6166634847512522,0.7481120093285285,0.5611652349186543,3.015991746195512,1.0918544661176013,49.0,0.49169746124682057,2.190379476215927,4.0
6,Processed,Awake,60,2,23,3088712017187614673,0.6170537281125369,0.7550956363029546,0.5730671401833277,2.9174199853408256,1.0307780458180735,35.0,0.5228439794596151,2.1907299416850994,4.0
6,Processed,Awake,60,2,24,6194847122004958941,0.679746318994911,0.7146520479518499,0.5838652397178097,3.0278745644599305,1.0802424624683264,33.0,0.5473436675145175,2.2132738210751017,4.0
6,Processed,Awake,60,2,25,12033084923237207589,0.641762288643803,0.7330113280548376,0.5811297211690742,2.9262928951184146,1.0181143357402005,42.0,0.5390891203148246,2.182012432012432,4.0
6,Processed,Awake,60,2,26,12091070775191331930,0.6513317924942217,0.7264368464674053,0.5436483178960503,2.754863813229572,0.9353796616192894,42.0,0.4827230407448289,2.142157384730061,3.0
6,Processed,Awake,60,2,27,10350033179733155124,0.5314502159217447,0.7943552620202646,0.5934155588616403,3.077401692384271,1.1440102183686327,54.0,0.5072467245764746,2.208881922675026,4.0
6,Processed,Awake,60,2,28,3138573746204013824,0.5823837243600563,0.7709577203788022,0.5291068771896146,2.942353883106485,1.0509971378502656,53.0,0.50196765369295,2.2320742637644044,4.0
6,Processed,Awake,60,2,29,13165604595588773023,0.6114399113544638,0.7519275699101589,0.5447521236262418,2.969911041339613,1.102439430763312,34.0,0.4903536977491961,2.185795272221628,4.0
6,Processed,Awake,60,2,30,1580262299318626462,0.5756836496889771,0.755927091234849,0.582089552238806,2.9713375796178343,1.0666080657138235,43.0,0.49200940634448337,2.158543004526792,4.0
6,Processed,Awake,60,2,31,16919316041533653521,0.5202404700819561,0.8082202618899157,0.5799779238853962,2.9824777887462983,1.0601902276232142,48.0,0.5255555022316072,2.1777866162871633,4.0
6,Processed,Awake,60,2,32,7664609957217215962,0.5956866214786753,0.7682179767363694,0.5696117483322936,2.9799146372081347,1.027697052226587,44.0,0.5352258002591543,2.22427203829278,4.0
6,Processed,Awake,60,2,33,17546108550426297802,0.6288839829524648,0.7338885664427265,0.567932043960263,3.03125,1.1078151858352718,37.0,0.4788117291356721,2.1453607139017308,3.0
6,Processed,Awake,60,2,34,9776189216270845590,0.7128462498761928,0.6770574075815547,0.5208523299899218,2.879543645529318,1.011804299680502,39.0,0.4698613044104238,2.176150255612358,4.0
6,Processed,Awake,60,2,35,6029401901155332423,0.5970931000396447,0.7542522743185768,0.5898641839036329,2.9609732594555527,1.0501740300423636,35.0,0.5241157556270096,2.1918715504264927,4.0
6,Processed,Awake,60,2,36,5482711851579213414,0.6281647242769747,0.7491564352975906,0.5486874310121419,2.968068535825545,1.058524397158513,42.0,0.518740701636512,2.1953894587183913,4.0
6,Processed,Awake,60,2,37,16991386042980521694,0.5260424622693546,0.7972964962100489,0.5827134424341316,3.023406374501992,1.1271851591398958,39.0,0.5272352066036378,2.2272681196148,4.0
6,Processed,Awake,60,2,38,6429604049122547501,0.6181285424361349,0.7456019763934745,0.5428804530402649,2.966692892735379,1.0531885123286207,38.0,0.5043672313672793,2.2076462556454155,4.0
6,Processed,Awake,60,3,0,18417718479110236413,0.7220385940347213,0.670798455303298,0.5350098382684647,2.8776458440887973,1.0001623950719876,40.0,0.4715650045591976,2.1889062151926932,3.0
6,Processed,Awake,60,3,1,16372424025285739138,0.6360549210719112,0.7371461001113347,0.5174449296923741,3.0016703786191536,1.1430632590095995,41.0,0.44037049479291646,2.1646614767633876,4.0
6,Processed,Awake,60,3,2,11334603333316413314,0.6816021225659976,0.7091093609960848,0.5238278063060902,2.849869451697128,1.015426037950932,33.0,0.461942698085137,2.154319606087735,4.0
6,Processed,Awake,60,3,3,9320393235621251640,0.6124445448333196,0.7520536532145985,0.5363056102126026,2.92999475616151,1.063803527478619,45.0,0.5038873158324135,2.179449922158796,4.0
6,Processed,Awake,60,3,4,7995417615990592024,0.5927026302464548,0.7630821987297363,0.5496952536353602,3.109964702688026,1.1375822124558528,39.0,0.48301099006574844,2.2212535864047673,4.0
6,Processed,Awake,60,3,5,13656453832057454892,0.6232052116786163,0.7547400207386503,0.508758458511302,2.8119363395225463,0.9911437266336829,37.0,0.4781638431636032,2.2259830205540663,4.0
6,Processed,Awake,60,3,6,16987829219451975880,0.6501317920727337,0.7341447053223148,0.5349618467149782,2.9021088258266077,1.0285153088653471,47.0,0.4983922829581994,2.176008381351493,4.0
6,Processed,Awake,60,3,7,17261129180297228532,0.6689599312998761,0.717486462095661,0.5477755914958967,2.71245247148289,0.9103791651686219,35.0,0.5042232567068196,2.178641783307413,4.0
6,Processed,Awake,60,3,8,8505480692352895576,0.685090716561612,0.7074800784788449,0.5399049767240965,2.906225781451821,1.0702604237757238,32.0,0.47528434995440805,2.1611565739225314,4.0
6,Processed,Awake,60,3,9,8658203169022428819,0.6473253026065516,0.7245430363581976,0.5546383836444786,2.8663194444444446,0.9899189054448803,45.0,0.48853001871670587,2.1396741986337364,3.0
6,Processed,Awake,60,3,10,6016034178030525390,0.6280151527270486,0.744244810341645,0.5572299275327542,2.9552048867396286,1.065245721311863,47.0,0.4774199740845611,2.193121693121693,4.0
6,Processed,Awake,60,3,11,15260204935406447958,0.5525722167801272,0.7848458820588825,0.5472956759610309,2.936148300720906,1.0379125128464142,43.0,0.5240437682967798,2.226651712887439,4.0
6,Processed,Awake,60,3,12,7982395226773968585,0.6714701593877701,0.7080360977700084,0.5427844699332918,2.8683743342632515,0.987784491063026,33.0,0.48819407784229973,2.16413147537496,3.0
6,Processed,Awake,60,3,13,11639907732031642821,0.6688256025458014,0.6981433896583321,0.5096702980275472,2.905608755129959,1.0506184170916542,50.0,0.4194221816960215,2.1289890377588305,4.0
6,Processed,Awake,60,3,14,1951004275851409755,0.6132786965881384,0.7477700696515538,0.5221481019340596,2.9405405405405407,1.0639733745628994,41.0,0.4831309689494649,2.1761781236489406,4.0
6,Processed,Awake,60,3,15,5667069804876340034,0.6939840547504286,0.690506451543027,0.5564140711234823,3.0414480587618047,1.0857232212729215,45.0,0.45973508662475404,2.1953706886673543,3.0
6,Processed,Awake,60,3,16,11769349060979703330,0.6193696191896,0.7425824778364524,0.5437443010030235,2.882218265072501,1.0301096482477947,49.0,0.44207419494169026,2.14046706169397,3.0
6,Processed,Awake,60,3,17,8976110304713895986,0.5963164772539071,0.7567624878088166,0.5708115371694582,2.968305465435488,1.0511896156238105,44.0,0.44389787397418057,2.149047397769517,3.0
6,Processed,Awake,60,3,18,10779385372205423575,0.6544369590356445,0.7203340833197329,0.5181168114411864,2.809263596148842,0.9735761455022567,37.0,0.4841147957959399,2.165629025332761,4.0
6,Processed,Awake,60,3,19,4138865140703963331,0.6368027170047825,0.7319296236899562,0.5366895426404953,2.9061850311850312,1.0748285698871283,37.0,0.4605989345875126,2.1758104738154613,4.0
6,Processed,Awake,60,3,20,5498829240672104691,0.6279937702517502,0.730089809838049,0.5344339396266257,2.8924675324675326,1.0038228836011995,36.0,0.44516965014157506,2.1214408233276156,3.0
6,Processed,Awake,60,3,21,10385188860448250288,0.6671989346152946,0.7041700765431244,0.5385612132264721,2.828837912780439,0.9730427389801162,34.0,0.467917646494217,2.1568410574051544,4.0
6,Processed,Awake,60,3,22,14078719732378652124,0.5747839801926165,0.7514436123647212,0.528147046119883,2.864393545028631,1.0084480482022276,41.0,0.44771320247636415,2.1652547290240225,4.0
6,Processed,Awake,60,3,23,15024595955887799289,0.5952482525819416,0.752686106559046,0.5418726304170466,3.0640434192673,1.0575742788148927,54.0,0.4506886787925325,2.1700751010976314,4.0
6,Processed,Awake,60,3,24,17290448737477311407,0.5664053224264758,0.7785253598193836,0.560157412295436,2.9737579617834395,1.070666795954336,35.0,0.49169746124682057,2.1892094017094017,4.0
6,Processed,Awake,60,3,25,4397510320237357693,0.6773108171958754,0.6984154513466403,0.5500791860632529,2.9337087279242384,1.0044294183761604,45.0,0.45445601574122957,2.168670559945036,4.0
6,Processed,Awake,60,3,26,7030244699995541724,0.6400374227577665,0.7322746939508061,0.5260354177664731,2.822090628218332,0.9827904551512886,37.0,0.48747420454000095,2.1947925669835784,4.0
6,Processed,Awake,60,3,27,3574321182629500176,0.6052951938808253,0.7587684414270877,0.5391851034217978,2.912885662431942,1.0382037811246063,51.0,0.4810433363727984,2.2129374103101886,4.0
6,Processed,Awake,60,3,28,2526605601288846744,0.6607617947687981,0.7217308261887646,0.5360656524451697,2.8271323715515058,1.006594455921951,38.0,0.4767001007822623,2.210280373831776,4.0
6,Processed,Awake,60,3,29,4491124481405498865,0.5988483857335241,0.7552299628269185,0.5225800259154388,2.8587555788920977,1.0311054129065251,34.0,0.46911743533138167,2.1739130434782608,4.0
6,Processed,Awake,60,3,30,16741504688430695966,0.6418865602603707,0.7318456098219133,0.5124058165762826,2.80309792596482,0.962118369478897,36.0,0.4805874166146758,2.1654232890042167,4.0
6,Processed,Awake,60,3,31,7830236695798019748,0.6861664512871242,0.693627306834025,0.5574218937467006,2.8721562809099903,1.0018398785175755,41.0,0.4513605605413447,2.141881120473696,4.0
6,Processed,Awake,60,3,32,4066587983702306109,0.6019017896254821,0.7577428280636769,0.5546383836444786,2.8465517241379312,0.977489548920499,50.0,0.5084465134136392,2.1792656587473003,4.0
6,Processed,Awake,60,3,33,7750120187946216556,0.5987533858271157,0.7646828834117217,0.5456159715890003,3.0365918803418803,1.1279287858137081,53.0,0.4705571819359793,2.1932669723744547,4.0
6,Processed,Awake,60,3,34,11790127560413966180,0.6922593153402737,0.6966728399229619,0.5136056054134472,2.772538860103627,0.9625485616258732,39.0,0.46227863895954313,2.1585434173669467,3.0
6,Processed,Awake,60,3,35,3615724714735938633,0.5636266372655264,0.779032833685927,0.5350578298219514,2.8521360961882833,1.0068918054142424,38.0,0.47698805010318185,2.170324271208647,4.0
6,Processed,Awake,60,3,36,11600399654690463161,0.6218691970957501,0.741343662272578,0.5521908144166626,2.9255021612001015,1.0221662008267252,48.0,0.5015597254883141,2.1696076396097155,4.0
6,Processed,Awake,60,3,37,15690171032076345439,0.5928491515475711,0.7642439286896429,0.53985698517061,2.896240988671473,1.0144865082427124,38.0,0.4857465086144839,2.174795874516545,4.0
6,Processed,Awake,60,3,38,1447102281041864920,0.644333137051373,0.735375060657415,0.522915966789845,2.934554268785349,1.0161042768342174,36.0,0.49095359216777845,2.176595744680851,4.0
6,Processed,Awake,60,4,0,8126482823948342802,0.7017227768281662,0.6669001271227433,0.5665882804626385,3.0498579178506846,1.0984230143372038,33.0,0.3764457455487834,2.0800848581278175,3.0
6,Processed,Awake,60,4,1,951897899843432532,0.7316096733096966,0.6510207313563389,0.5862168258386524,3.081483350151362,1.0961100611555628,46.0,0.4249172145702356,2.0963655735764175,3.0
6,Processed,Awake,60,4,2,2794080510173909218,0.6851701733608815,0.6778645524482878,0.5476796083889236,2.9929189614476788,1.0736233494867269,39.0,0.41287133464510245,2.1226252158894647,4.0
6,Processed,Awake,60,4,3,1497468770278665743,0.7475040669730971,0.6399353386744789,0.578250227959879,3.068245480010186,1.0963646890718832,45.0,0.4336276815280511,2.115546710372278,3.0
6,Processed,Awake,60,4,4,8021271594256593342,0.780382073339981,0.5951787183712065,0.5678840524067764,3.098455092956271,1.0791192410684602,41.0,0.36509574314920573,2.079404127374607,3.0
6,Processed,Awake,60,4,5,11898671632131421257,0.7137208108379558,0.6623550910146622,0.5651965254115275,2.9982179226069245,1.1013772903472883,36.0,0.41716657868215196,2.114706240116774,4.0
6,Processed,Awake,60,4,6,11596954347180216712,0.7563348678574147,0.6362329286633606,0.5464318279982723,2.910531697341513,1.026130425695036,46.0,0.4240053750539905,2.1141421392677673,4.0
6,Processed,Awake,60,4,7,8564111486906868551,0.6814708378441671,0.6824252738143661,0.5851130201084609,3.1716961498439127,1.1451081992368721,57.0,0.38201276575322746,2.0729166666666665,3.0
6,Processed,Awake,60,4,8,5109667048989297275,0.67488853444164,0.696144094772456,0.5758506502855497,3.36672278338945,1.2765901870382133,36.0,0.4044968085616931,2.131908435563425,3.0
6,Processed,Awake,60,4,9,14026124157206318681,0.6203466983149506,0.732247411811702,0.594279406824399,3.1183580961974315,1.1158873427017317,42.0,0.43391563084897056,2.1031635264014885,3.0
6,Processed,Awake,60,4,10,11405425572483312306,0.763581277082952,0.6249958711360732,0.5722512837740558,3.0939283860923714,1.0945915137297932,47.0,0.4478331813600806,2.127080009117848,4.0
6,Processed,Awake,60,4,11,3467898112201380376,0.7092475840111118,0.6717367874557932,0.5809857465086145,2.9995044598612486,1.0853862881008611,56.0,0.43614723808609684,2.1315820335405182,4.0
6,Processed,Awake,60,4,12,9770127874827177629,0.7503143502442031,0.6410817235706772,0.5514709411143639,2.9539845758354755,1.0428516004140223,50.0,0.45481595239237893,2.1636986301369863,4.0
6,Processed,Awake,60,4,13,9422159837862303825,0.7343003546658653,0.6554165916227604,0.5952872294476172,2.929617383089277,1.001809267190782,44.0,0.44459375149973607,2.091904708140454,3.0
6,Processed,Awake,60,4,14,7818387818608181358,0.6914362138061254,0.6883911345030468,0.5569899697653213,3.0051786639047124,1.0606937059630044,53.0,0.4318519940490474,2.122538035145654,3.0
6,Processed,Awake,60,4,15,7545919908138860223,0.7333671443572414,0.6511625613990553,0.5945673561453184,3.0910678642714573,1.0759318448488453,42.0,0.43506742813264865,2.1129239016431653,3.0
6,Processed,Awake,60,4,16,6814422996230693370,0.6689804203754864,0.6949753329405632,0.5608292940442482,3.018078512396694,1.0916064512945531,57.0,0.43434755483034987,2.131284587307194,4.0
6,Processed,Awake,60,4,17,14728261209806243481,0.7316951729459601,0.659696342638068,0.5586216825838652,2.9283018867924526,1.0318389788507614,36.0,0.4445217641695062,2.1215071003206596,4.0
6,Processed,Awake,60,4,18,12325007974828450723,0.7481032447472162,0.639181573743261,0.5618371166674665,2.9172688761525043,0.9917743944677054,49.0,0.4373950184767481,2.1262101947976206,4.0
6,Processed,Awake,60,4,19,4670277850713496832,0.770056751059989,0.6226392726700003,0.5474396506214906,2.9069826707441386,1.0116499254195592,34.0,0.41803042664491047,2.11189235058795,4.0
6,Processed,Awake,60,4,20,3578924409679842910,0.7141029572937385,0.665181462476903,0.5664922973556654,3.1046817464492373,1.1282926203182582,54.0,0.42690886403992895,2.1242985074626866,4.0
6,Processed,Awake,60,4,21,9071990702170535166,0.6761161745271962,0.7032318973904093,0.5955751787685367,3.170669391926418,1.168246374637878,37.0,0.4450496712578586,2.11675416571559,4.0
6,Processed,Awake,60,4,22,15425795166213376655,0.7508420942545926,0.6340163735367965,0.5440802418774295,3.021588486140725,1.0783680847364276,42.0,0.4320919518164803,2.1350486127578847,4.0
